AMP	DEL	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	RNA	Splice_Site	Translation_Start_Site
APITD1	0	0	0	0	0	0	4	1	0	0	1	0
AQR	0	1	3	0	0	0	97	2	0	0	1	0
AR	0	0	2	1	0	0	70	3	0	0	0	0
ARAF	0	0	10	1	0	0	42	3	0	0	0	0
ARHGAP35	0	0	32	5	5	0	133	44	0	0	2	0
ARID1A	0	1	193	63	3	0	156	212	0	0	23	0
ARID1B	0	2	26	5	1	2	134	31	0	0	0	0
ARID2	0	4	47	6	1	1	119	81	0	0	16	0
ARID4A	0	0	7	4	0	0	80	4	0	0	1	0
ARID4B	0	0	17	4	2	0	82	8	0	0	4	1
ARID5B	0	0	22	7	1	0	79	8	0	0	0	0
ARPP19	0	0	0	1	0	0	6	0	0	0	0	0
ASCC1	0	0	1	0	0	0	12	2	0	0	3	0
ASCC2	0	0	1	0	0	0	36	7	0	0	2	0
ASCC3	0	0	2	4	0	0	127	15	0	0	5	0
ASH1L	0	0	11	5	1	0	192	18	0	0	3	1
ASH2L	0	1	0	0	0	0	41	0	0	0	1	0
ASXL1	0	0	17	1	0	0	100	22	0	0	1	0
ASXL2	0	1	6	0	2	0	114	19	0	0	1	1
ATF2	0	0	1	0	1	0	31	1	0	0	2	0
ATF7IP	0	0	9	9	1	0	96	18	0	0	6	0
ATM	0	0	34	10	7	0	242	46	1	0	27	0
ATR	0	0	12	4	1	0	179	14	0	0	8	0
ATRIP	0	0	5	0	0	0	32	2	0	0	0	0
ATRX	0	0	122	32	3	0	216	92	0	0	24	0
ATXN3	0	0	2	0	0	0	19	4	0	0	2	1
ATXN7	0	0	5	0	1	0	40	3	0	0	0	0
ATXN7L3	0	0	1	0	0	0	18	2	0	0	0	0
AURKA	0	0	0	0	0	0	19	1	0	0	0	1
AURKB	0	0	0	0	0	0	19	0	0	0	0	0
AXIN1	0	0	11	4	0	0	55	14	0	0	6	0
AXIN2	0	0	8	3	0	1	64	7	0	0	2	0
AZI1	0	0	1	0	0	0	52	6	0	0	3	0
B2M	0	0	25	1	1	0	21	7	0	0	4	11
B9D2	0	0	1	0	0	0	7	1	0	0	0	0
BABAM1	0	0	1	0	0	0	13	1	0	0	0	0
BANF1	0	0	0	0	0	0	3	0	0	0	1	0
BAP1	0	1	39	7	6	0	81	38	0	0	13	3
BARD1	0	0	5	2	0	0	51	3	0	0	1	0
BCL2	0	0	1	0	1	0	12	1	0	0	0	0
BCOR	0	0	18	8	1	0	141	29	0	0	4	0
BIRC5	0	0	0	0	0	0	11	1	0	0	1	0
BLM	0	0	4	1	1	0	76	2	0	0	1	0
BLZF1	0	0	2	0	0	0	27	2	0	0	2	0
BORA	0	0	1	0	0	0	21	1	1	0	1	0
BRAF	124	0	0	0	6	0	660	5	0	0	4	0
BRCA1	0	0	13	3	2	0	114	15	0	0	6	1
BRCA2	0	0	20	6	3	0	217	28	0	0	2	0
BRD1	0	2	7	1	2	0	78	4	0	0	3	0
BRD7	0	3	5	4	0	0	36	16	0	0	3	0
BRD8	0	0	5	0	0	0	69	5	0	0	4	0
BRE	0	0	2	1	0	1	31	6	0	0	5	0
BRIP1	0	0	4	2	1	0	73	10	0	0	3	0
BRMS1	0	0	2	0	0	0	24	3	0	0	2	0
BRPF1	0	0	2	1	0	0	65	3	0	0	1	0
BRPF3	0	0	2	2	0	0	65	7	0	0	0	0
BRWD1	0	1	10	3	1	0	121	10	0	0	2	0
BTRC	0	0	3	1	0	0	40	4	0	0	1	0
BUB1	0	0	1	4	0	0	59	6	0	0	3	0
BUB1B	0	0	3	0	0	0	44	3	0	0	3	0
BUB3	0	0	1	0	0	0	15	1	0	0	0	0
C17orf70	0	0	2	1	0	0	30	3	0	0	2	0
C19orf40	0	0	0	1	0	0	14	1	0	0	2	0
C1orf86	0	0	2	0	0	0	12	0	0	0	0	0
CABLES1	0	0	0	0	0	0	20	0	0	0	2	0
CACNA1A	59	0	0	0	0	0	208	15	0	0	4	0
CARM1	0	0	2	0	0	0	28	1	0	0	0	0
CASC5	0	0	7	4	0	0	112	7	0	0	3	0
CASP8	0	5	12	5	4	0	83	41	0	0	12	0
CBFB	0	0	3	2	0	0	20	2	0	0	2	1
CCDC101	0	0	1	0	0	0	15	2	0	0	2	0
CCNA1	0	0	1	1	1	0	56	3	0	0	2	0
CCNA2	0	0	0	0	0	0	23	2	0	0	0	0
CCNB1	0	0	0	0	0	0	15	1	0	0	2	0
CCNB2	0	0	0	0	0	0	14	3	0	0	0	0
CCND1	318	0	0	0	4	2	38	4	0	0	0	0
CCND2	0	0	0	0	0	0	20	2	0	0	0	0
CCND3	0	0	0	1	0	0	16	1	0	0	0	0
CCNE1	0	0	0	0	0	0	28	2	0	0	1	0
CCNE2	0	0	1	0	1	0	22	2	0	0	0	0
CCNH	0	0	0	0	0	0	11	3	0	0	0	0
CCP110	0	0	1	0	1	0	40	5	0	0	3	0
CDC14A	0	0	4	1	0	0	45	4	1	0	0	0
CDC16	0	4	0	1	0	0	23	2	0	0	3	0
CDC20	0	0	2	0	0	0	21	4	0	0	3	0
CDC23	0	0	2	1	1	0	19	1	0	0	0	0
CDC25A	0	0	0	1	0	0	31	4	0	0	0	0
CDC25B	0	0	2	0	1	0	40	0	0	0	1	0
CDC25C	0	0	5	0	0	0	30	1	0	0	1	0
CDC26	0	0	0	0	0	0	3	1	0	0	0	0
CDC27	0	0	2	0	0	0	45	4	0	0	2	0
CDC45	0	0	2	0	1	0	29	1	0	0	1	0
CDC6	0	0	2	1	0	0	39	3	0	0	4	0
CDC7	0	0	7	0	0	1	30	2	1	0	2	0
CDCA5	0	0	0	0	0	0	14	1	0	0	1	0
CDCA8	0	0	0	0	1	0	9	1	0	0	2	0
CDH1	0	2	31	27	7	0	84	31	0	0	17	0
CDK1	0	0	0	0	0	0	14	1	1	0	0	0
CDK11A	0	0	1	0	1	0	28	0	0	0	2	0
CDK11B	0	0	2	1	2	0	40	2	0	0	2	0
CDK12	0	1	11	7	1	1	121	15	0	0	2	0
CDK2	0	0	2	0	0	0	8	1	0	0	0	0
CDK4	178	0	0	0	2	0	28	0	0	0	0	0
CDK5RAP2	0	0	4	0	0	1	80	6	0	0	3	0
CDK6	0	0	0	0	0	0	18	2	0	0	1	0
CDKN1A	0	0	18	18	0	0	25	11	0	0	0	4
CDKN1B	0	3	9	9	0	0	9	7	0	0	4	0
CDKN1C	0	0	0	0	0	0	3	0	0	0	0	0
CDKN2A	0	0	47	15	12	1	126	121	0	0	33	0
CDKN2B	0	0	0	0	0	0	8	0	0	0	0	0
CDKN2C	0	5	3	1	0	0	12	2	0	0	0	0
CDKN2D	0	0	0	0	0	0	9	0	0	0	0	0
CDT1	0	0	0	0	0	0	24	1	0	0	0	0
CENPA	0	0	0	0	0	0	7	1	0	0	0	0
CENPC	0	0	5	1	0	0	33	3	0	0	2	0
CENPE	0	0	7	2	1	0	161	15	0	0	8	0
CENPF	0	0	6	4	1	0	178	27	0	0	1	0
CENPH	0	0	3	0	0	0	15	0	0	0	3	0
CENPI	0	0	0	0	0	0	46	1	0	0	1	0
CENPJ	0	0	3	1	0	0	78	8	0	0	2	0
CENPK	0	0	3	1	0	0	14	0	0	0	0	0
CENPL	0	0	2	1	0	0	13	2	0	0	1	0
CENPM	0	0	1	0	0	0	6	0	0	0	0	0
CENPN	0	0	1	0	0	0	15	1	0	0	0	0
CENPO	0	0	0	0	1	0	9	1	0	0	0	0
CENPP	0	0	3	1	0	0	13	1	0	0	0	0
CENPQ	0	1	0	0	0	0	13	2	0	0	0	0
CENPT	0	0	0	0	0	0	24	2	0	0	1	0
CENPU	0	0	0	1	0	0	17	0	0	0	1	0
CENPW	0	0	0	0	0	0	4	1	0	0	2	0
CEP135	0	0	1	0	1	0	62	14	0	0	2	0
CEP152	0	0	4	0	2	0	87	12	0	0	3	0
CEP164	0	1	4	0	1	0	60	3	0	0	4	0
CEP192	0	0	3	2	2	0	134	11	0	0	5	0
CEP250	0	1	7	1	1	0	112	6	0	0	6	0
CEP290	0	0	19	3	0	0	108	10	0	0	2	0
CEP57	0	0	2	1	1	0	27	3	0	0	0	0
CEP63	0	0	2	0	0	0	52	1	0	0	0	0
CEP70	0	0	3	1	1	0	25	5	0	0	1	2
CEP72	0	0	1	0	0	0	45	4	0	0	1	0
CEP76	0	0	4	0	0	0	34	3	0	0	2	0
CEP78	0	0	2	0	1	0	39	1	0	0	2	0
CHD3	0	0	22	3	2	0	118	12	0	0	5	0
CHD4	106	0	0	0	3	0	208	15	0	0	10	0
CHD8	0	0	13	5	0	0	128	19	0	0	8	0
CHEK1	0	0	1	1	0	0	26	4	0	0	2	1
CHEK2	0	0	3	2	0	0	56	6	0	0	3	0
CIC	0	3	46	18	4	0	154	19	0	0	5	0
CKAP5	0	0	4	3	1	1	91	3	0	0	4	0
CKS1B	0	0	0	1	0	0	5	2	0	0	0	0
CLASP1	0	0	6	0	0	0	65	4	0	0	4	0
CLASP2	0	0	3	0	0	0	72	6	0	0	3	0
CLIP1	0	0	2	2	0	0	66	9	1	0	4	0
CLOCK	0	0	2	0	1	0	35	7	0	0	3	0
CLSPN	0	0	2	3	2	0	60	10	0	0	2	0
CNEP1R1	0	0	0	0	0	0	6	0	0	0	0	0
CNTRL	0	0	3	0	0	0	103	13	0	0	3	0
COPRS	0	0	0	0	0	0	5	1	0	0	0	0
COPS2	0	0	1	1	1	0	33	4	0	0	2	1
COPS3	0	0	1	1	0	0	24	3	0	0	2	0
COPS4	0	0	2	1	1	0	24	2	0	0	1	0
COPS5	0	0	1	1	1	0	16	2	0	0	0	0
COPS6	0	0	1	0	1	0	14	1	0	0	2	0
COPS7A	0	0	0	0	0	0	11	4	0	0	1	0
COPS7B	0	1	0	1	1	0	11	0	0	0	0	0
COPS8	0	2	1	0	0	0	6	0	0	0	0	0
CREBBP	0	3	17	3	5	0	202	36	0	0	11	0
CSNK1D	0	0	1	0	0	0	22	0	0	0	0	0
CSNK1E	0	0	2	0	3	0	28	0	1	0	0	0
CSNK2A1	0	3	1	0	1	0	27	10	0	0	2	0
CSNK2A2	0	0	0	2	0	0	13	2	0	0	2	0
CSRP2BP	0	0	0	1	0	1	54	3	0	0	1	0
CTCF	0	0	26	27	1	0	84	22	0	0	7	1
CTDNEP1	0	0	0	2	0	0	7	1	0	0	1	0
CTNNB1	34	0	0	0	7	1	294	6	0	0	3	0
CTNND1	0	0	9	4	1	0	70	12	0	0	5	0
CUL1	221	0	0	0	0	0	85	4	0	0	0	0
CUL3	0	1	8	4	0	0	71	13	0	0	15	0
CUL4A	0	0	0	0	0	0	31	4	0	0	1	0
CUL4B	0	1	4	2	0	0	62	6	0	0	4	0
DAZAP1	0	0	25	0	2	0	29	6	0	0	3	0
DBF4	0	0	6	4	1	0	38	1	0	0	2	0
DCLRE1A	0	0	4	0	1	0	52	8	0	0	1	0
DCLRE1B	0	0	0	0	0	0	32	5	0	0	0	0
DCLRE1C	0	0	3	0	3	0	41	2	0	0	2	1
DCTN1	0	0	3	0	0	0	81	8	0	0	0	0
DCTN2	0	0	1	0	0	0	15	0	0	0	1	0
DCTN3	0	0	0	0	0	0	6	0	0	0	0	0
DDB1	0	0	3	0	0	0	58	5	0	0	4	0
DDB2	0	0	2	1	0	0	17	2	0	0	3	0
DDX3X	0	1	8	7	2	1	73	12	0	0	7	2
DHFR	0	0	1	0	0	0	5	0	0	0	0	0
DIDO1	0	0	9	3	0	0	216	16	0	0	3	0
DMAP1	0	0	0	0	2	0	21	4	0	0	2	0
DMC1	0	0	1	1	1	0	19	3	0	0	0	0
DNA2	0	0	2	0	1	0	48	3	0	0	2	0
DNMT3A	0	0	9	4	0	0	80	13	0	0	4	0
DOT1L	0	0	2	0	1	0	87	11	1	0	5	0
DPY30	0	0	0	0	0	0	3	0	0	0	0	1
DR1	0	0	0	1	0	0	11	1	0	0	0	0
DSN1	0	0	0	0	1	0	22	5	0	0	2	0
DTL	0	0	0	0	0	0	31	3	0	0	0	0
DYNC1H1	0	0	2	5	2	1	218	14	0	0	6	0
DYNC1I1	0	0	1	0	0	0	87	9	0	0	4	0
DYNC1I2	0	0	3	2	0	1	28	1	0	0	1	0
DYNC1LI1	0	1	1	1	0	0	19	1	0	0	0	1
DYNC1LI2	0	0	2	1	0	0	18	3	0	0	1	0
DYNLL1	0	0	0	2	0	0	7	1	0	0	0	0
DYNLL2	0	0	0	0	1	0	3	0	0	0	0	0
DYRK1A	0	1	5	9	1	0	68	11	0	0	2	0
E2F1	0	0	8	1	0	0	23	3	0	0	0	0
E2F2	0	0	2	1	0	0	22	4	0	0	1	0
E2F3	0	1	1	4	1	0	17	2	1	0	0	0
E2F4	0	0	0	1	0	0	20	1	0	0	0	0
E2F5	0	0	0	0	0	0	19	1	0	0	2	0
E2F6	0	0	0	0	0	0	7	0	0	0	1	0
EED	0	7	3	1	1	0	28	4	0	0	0	0
EEF1A1	26	0	0	0	4	0	78	3	0	0	1	0
EGFR	259	0	0	0	27	4	259	7	0	0	1	0
EGR3	0	0	7	0	0	0	23	0	0	0	0	0
EHMT1	0	0	1	0	0	0	68	8	0	0	2	0
EIF1AX	75	0	0	0	1	0	38	2	0	0	2	0
ELF3	0	1	13	23	2	0	56	9	0	0	4	0
ELL	0	0	1	1	1	0	24	2	0	0	0	0
ELP2	0	2	0	0	0	0	25	6	0	0	1	0
ELP3	0	1	0	1	0	0	22	3	0	0	2	0
ELP4	0	0	1	0	0	0	39	3	0	0	0	0
ELP5	0	0	1	0	1	0	20	1	0	0	0	0
ELP6	0	0	0	0	0	0	11	0	0	0	0	0
EMD	0	0	0	0	0	0	16	1	0	0	2	0
EME1	0	0	2	0	1	0	25	1	0	0	0	0
EME2	0	0	1	0	0	0	17	1	0	0	1	0
EML4	0	0	5	1	0	0	43	4	0	0	0	0
ENSA	0	0	0	0	0	0	8	2	0	0	0	0
ENY2	0	0	0	0	0	0	6	0	0	0	1	0
EP300	0	1	19	6	5	1	195	48	0	0	12	0
EP400	0	0	7	0	1	1	172	15	0	0	4	0
EPC1	0	0	2	1	1	0	51	0	0	0	0	0
EPHA2	0	0	13	8	1	0	87	18	0	0	4	0
EPHA3	0	0	10	0	0	0	203	19	0	0	7	0
ERBB2	243	0	0	0	1	5	168	0	0	0	3	0
ERBB3	55	0	0	0	4	2	170	5	0	0	0	0
ERCC1	0	0	1	0	0	0	22	2	0	0	0	0
ERCC2	91	0	0	0	0	0	60	2	1	0	1	0
ERCC3	0	0	2	0	0	0	36	3	0	0	1	0
ERCC4	0	0	1	1	1	0	53	5	0	0	1	1
ERCC5	0	1	0	1	0	0	18	1	0	0	1	0
ERCC6	0	0	0	2	0	0	53	3	0	0	3	0
ERCC6L	0	0	3	4	0	0	51	5	0	0	0	0
ERCC8	0	2	1	0	0	0	13	1	0	0	1	1
ESCO1	0	0	7	4	1	0	33	6	0	0	1	0
ESCO2	0	0	5	0	0	0	23	3	0	0	0	0
ESPL1	0	0	5	2	0	0	98	16	0	0	2	0
ESR1	0	0	1	0	1	0	52	5	0	0	1	0
EXO1	0	0	4	1	1	0	57	5	0	0	1	0
EYA1	0	0	2	1	0	0	95	6	0	0	0	0
EYA2	0	0	1	1	1	0	59	2	0	0	2	0
EYA3	0	0	1	1	1	0	24	3	0	0	0	0
EYA4	0	0	1	1	0	0	93	5	0	0	9	0
EZH2	0	0	3	1	0	0	48	5	0	0	0	0
FAM175A	0	0	3	0	1	0	14	1	0	0	0	0
FAN1	0	0	2	0	2	0	51	1	0	0	0	3
FANCA	0	0	1	1	0	0	76	5	0	0	4	0
FANCB	0	1	3	4	1	0	55	3	0	0	2	0
FANCC	0	0	0	0	0	0	24	5	0	0	1	1
FANCD2	0	0	3	2	0	0	90	7	0	0	1	0
FANCE	0	0	2	2	0	0	24	1	0	0	1	0
FANCF	0	1	1	0	0	0	14	2	0	0	0	0
FANCG	0	0	1	0	0	0	27	4	0	0	0	0
FANCI	0	0	6	0	1	0	65	3	2	0	2	0
FANCL	0	0	0	0	0	0	21	1	0	0	1	0
FANCM	0	0	8	2	0	0	140	17	0	0	4	0
FAT1	0	0	57	32	3	0	272	141	1	0	17	0
FBXL18	0	0	1	0	1	0	31	1	0	0	0	0
FBXL7	0	0	5	0	0	0	115	2	0	0	0	0
FBXO5	0	0	2	0	1	0	20	1	0	0	0	1
FBXW11	0	0	0	0	0	0	23	1	0	0	2	0
FBXW7	0	0	23	10	2	1	201	70	0	0	5	0
FEN1	0	0	0	1	0	0	17	0	0	0	0	0
FGFR1	0	0	0	0	0	0	51	0	0	0	3	0
FGFR1OP	0	0	0	0	0	0	24	0	0	0	0	0
FGFR2	28	0	0	0	2	3	123	1	0	0	0	0
FGFR3	39	0	0	0	0	0	112	2	0	0	0	0
FKBP6	0	0	0	0	0	0	34	3	0	0	2	0
FOXA1	54	0	0	0	14	0	68	1	1	0	1	0
FOXA2	0	0	6	7	0	0	41	5	0	0	0	0
FOXM1	0	0	5	0	1	0	53	0	0	0	0	0
FTO	0	0	2	0	0	0	32	3	0	0	1	0
FUBP1	0	0	28	8	2	0	41	21	0	0	13	1
FZR1	0	0	2	2	0	0	47	4	0	0	2	0
GATA3	0	0	24	45	1	0	71	7	0	0	22	0
GATAD2A	0	0	2	0	0	1	40	3	0	0	1	0
GEN1	0	0	3	1	1	0	40	4	0	0	1	0
GINS1	0	0	0	0	0	0	6	2	0	0	1	0
GINS2	0	0	1	0	0	0	8	0	0	0	0	0
GINS3	0	0	2	0	0	0	16	0	0	0	0	0
GINS4	0	0	0	1	0	0	18	2	0	0	0	0
GMNN	0	1	1	0	0	0	12	1	0	0	0	0
GNA11	25	0	0	0	0	0	56	0	0	0	1	0
GNAQ	23	0	0	0	0	0	60	2	0	0	0	0
GOLGA2	0	0	7	1	1	0	52	9	0	0	1	0
GORASP1	0	0	0	1	2	0	13	0	0	0	0	0
GORASP2	0	0	1	0	0	1	24	0	0	0	2	0
GPS1	0	0	0	1	0	0	28	2	0	0	1	0
GPS2	0	0	8	1	0	0	13	14	0	0	5	0
GRIN2D	25	0	0	0	0	0	68	2	0	0	0	0
GSK3B	0	0	2	1	0	0	17	5	0	0	0	0
GTF2H1	0	0	1	0	0	0	21	3	0	0	3	0
GTF2H3	0	0	1	0	0	0	12	2	0	0	1	0
GTF2H5	0	0	0	0	0	0	3	2	0	0	0	0
GTF2I	0	0	0	0	1	1	101	3	0	0	5	0
GTSE1	0	0	2	2	0	0	46	1	0	0	0	0
H2AFB1	0	0	0	0	0	0	4	0	0	0	0	0
H2AFJ	0	0	0	1	0	0	11	0	0	0	0	0
H2AFV	0	0	0	0	0	0	10	0	1	0	0	0
H2AFX	0	0	1	1	1	0	15	0	0	0	0	0
H2AFZ	0	0	0	0	0	0	15	0	0	0	0	0
H3F3A	206	0	0	0	0	0	22	2	0	0	0	0
H3F3B	0	0	2	0	1	0	19	1	0	0	1	0
H3F3C	0	0	5	0	0	0	19	2	0	0	0	0
HAT1	0	0	3	0	1	0	19	4	0	0	0	0
HAUS1	0	1	0	0	0	0	21	0	1	0	1	0
HAUS2	0	0	0	0	0	0	10	0	0	0	0	0
HAUS3	0	0	3	1	0	0	28	5	1	0	0	0
HAUS4	0	0	1	0	1	0	19	2	0	0	0	0
HAUS5	0	0	5	0	0	0	44	0	0	0	0	0
HAUS6	0	0	2	0	0	0	50	5	0	0	1	0
HAUS8	0	0	2	1	0	0	19	2	0	0	1	0
HDAC1	0	0	1	0	2	0	18	2	0	0	2	0
HDAC10	0	1	1	3	0	0	32	1	0	0	0	0
HDAC2	0	4	3	2	1	0	25	1	1	0	1	0
HDAC3	0	0	1	0	1	0	26	5	0	0	2	0
HGF	0	0	3	2	1	0	143	9	0	0	7	0
HIST1H1C	0	0	3	4	5	0	49	0	0	0	0	0
HIST1H2AA	0	0	0	2	0	0	26	1	0	0	0	1
HIST1H2AB	0	0	0	1	1	0	17	1	0	0	0	0
HIST1H2AC	0	1	1	1	2	0	23	2	0	0	0	0
HIST1H2AD	0	0	2	1	0	0	17	2	0	0	0	0
HIST1H2AE	0	0	0	0	1	0	28	0	0	0	0	0
HIST1H2AG	0	0	0	2	0	0	30	1	0	0	0	0
HIST1H2AH	0	0	1	0	0	0	23	0	0	0	0	1
HIST1H2AI	0	0	0	0	0	0	24	0	0	0	0	0
HIST1H2AJ	0	0	2	0	0	0	19	1	0	0	0	0
HIST1H2AK	0	0	0	2	0	0	31	1	0	0	0	0
HIST1H2AL	0	0	4	0	1	0	15	0	0	0	0	0
HIST1H2AM	0	0	0	0	0	0	13	3	0	0	0	1
HIST1H2BA	0	0	0	0	0	0	13	0	0	0	0	0
HIST1H2BB	0	0	1	0	0	0	23	1	0	0	0	1
HIST1H2BC	0	0	1	0	0	0	33	4	0	0	0	0
HIST1H2BD	0	0	0	0	0	1	25	1	1	0	0	0
HIST1H2BE	0	0	0	0	1	2	8	0	0	0	0	0
HIST1H2BF	0	0	1	0	4	0	21	0	0	0	0	1
HIST1H2BG	0	0	2	0	3	0	33	2	0	0	0	0
HIST1H2BH	0	0	1	0	2	0	28	1	0	0	0	0
HIST1H2BI	0	0	0	0	0	0	14	3	0	0	0	0
HIST1H2BJ	0	0	1	1	0	0	16	1	0	0	0	0
HIST1H2BK	0	0	0	0	0	0	25	1	0	0	1	0
HIST1H2BL	0	0	0	0	0	0	21	3	0	0	0	1
HIST1H2BM	0	0	0	0	0	0	22	2	0	0	0	0
HIST1H2BN	0	0	0	0	1	0	11	1	0	0	0	0
HIST1H2BO	0	0	1	1	0	0	16	1	0	0	0	1
HIST1H3A	0	0	0	0	0	0	9	0	0	0	0	0
HIST1H3B	0	0	2	0	1	0	53	3	0	0	0	0
HIST1H3C	0	0	3	0	0	0	27	2	0	0	0	0
HIST1H3D	0	0	0	0	0	0	29	0	0	0	0	1
HIST1H3E	0	0	2	0	0	0	20	0	1	0	0	1
HIST1H3F	0	0	2	1	0	0	22	0	0	0	0	1
HIST1H3G	0	0	1	0	0	0	21	4	0	0	0	0
HIST1H3H	0	0	0	0	0	0	20	1	0	0	0	0
HIST1H3I	0	0	1	0	0	0	38	1	0	0	0	0
HIST1H3J	0	0	1	0	0	0	14	0	0	0	0	0
HIST1H4A	0	0	1	0	1	0	6	0	0	0	0	0
HIST1H4B	0	0	1	0	1	0	25	1	0	0	0	0
HIST1H4C	0	0	2	0	0	0	25	1	0	0	0	0
HIST1H4D	0	0	3	0	1	0	25	0	1	0	0	0
HIST1H4E	0	0	2	1	0	0	30	0	0	0	0	0
HIST1H4F	0	0	1	0	0	0	13	0	0	0	0	0
HIST1H4H	0	0	1	0	0	0	11	0	0	0	0	0
HIST1H4I	0	0	0	0	0	0	22	0	0	0	0	0
HIST1H4J	0	0	2	0	0	0	19	1	0	0	0	1
HIST1H4K	0	0	0	0	0	0	34	1	2	0	0	1
HIST1H4L	0	0	0	0	1	0	14	0	2	0	0	0
HIST3H2A	0	0	0	0	0	0	12	0	0	0	0	0
HIST3H2BB	0	0	0	1	0	0	6	0	0	0	0	0
HIST3H3	0	0	0	0	0	0	18	0	0	0	0	0
HIST4H4	0	0	0	2	0	0	13	0	1	0	0	0
HJURP	0	0	1	1	1	0	56	4	0	0	0	0
HMG20B	0	0	0	0	2	0	11	0	0	0	1	0
HMGN1	0	0	0	0	0	0	8	1	0	0	0	0
HMMR	0	0	1	1	0	0	32	1	0	0	4	0
HRAS	18	0	0	0	0	1	122	1	0	0	0	0
HSP90AA1	0	0	3	2	0	0	65	8	0	0	1	0
HSP90AB1	0	0	5	4	5	0	57	9	0	0	1	0
HSPA2	0	0	1	0	0	0	35	1	0	0	0	0
HUS1	0	0	1	1	0	0	12	5	0	0	1	0
IDH1	33	0	0	0	0	0	483	2	0	0	1	0
IDH2	57	0	0	0	0	1	32	1	0	0	1	0
IKBKAP	0	0	3	1	0	0	61	2	0	0	1	0
IL7R	0	0	5	2	0	0	99	4	1	0	6	0
INCENP	0	0	2	1	1	1	48	2	0	0	1	0
ING3	0	0	0	2	0	0	21	3	0	0	0	0
ING4	0	0	2	0	0	0	9	1	0	0	1	0
ING5	0	0	2	1	0	0	10	3	0	0	1	0
INO80	0	0	3	2	0	0	90	11	0	0	0	0
INO80B	0	0	0	0	1	0	16	3	0	0	0	0
INO80C	0	1	0	0	0	0	12	0	0	0	0	0
INO80D	0	0	4	1	0	0	53	2	0	0	0	1
INO80E	0	0	0	0	1	0	11	0	0	0	1	0
INPPL1	0	0	36	6	1	0	88	10	0	0	2	0
IRF2	0	3	7	1	0	0	36	7	0	0	2	0
IRF6	0	0	2	2	2	0	41	9	0	0	2	0
ISG15	0	0	1	0	0	0	7	1	0	0	0	0
ISY1	0	1	1	1	0	0	17	0	0	0	1	0
ITGB3BP	0	1	2	1	0	0	8	0	0	0	1	0
JADE1	0	0	1	1	0	0	42	1	0	0	1	0
JADE2	0	0	2	1	1	0	39	4	0	0	0	0
JADE3	0	0	1	0	0	0	56	2	0	0	1	0
JAK1	0	4	33	9	2	0	57	11	0	0	6	0
JAK2	0	0	4	0	0	0	56	12	0	0	2	0
JAK3	0	0	2	1	0	0	89	3	0	0	1	0
JMJD6	0	0	0	1	0	0	24	0	0	0	1	0
KANSL1	0	0	24	6	0	0	77	21	0	0	13	1
KANSL2	0	0	1	1	0	0	19	1	0	0	4	0
