Signature	Driver	SampsMut	SampsNonMut	MeanDriverPos	MeanDriverNeg	MeanDiff	pValTTest	pAdjTTest
CX1	GRIN2D	63	5147	-0.216	-0.008841	-0.2072	0.09551	0.481838035714286
CX1	FOXA1	105	5105	-0.1831	-0.007813	-0.1753	0.05809	0.386575119047619
CX1	PIK3R2	107	5103	-0.5733	0.0004377	-0.5737	2.372e-08	2.20991333333333e-06
CX1	PLXNB2	121	5089	-0.256	-0.005529	-0.2505	0.003217	0.0734001224489796
CX1	KLF5	97	5113	0.03086	-0.01215	0.04301	0.6495	0.904248387096774
CX1	SOX17	37	5173	-0.3035	-0.009256	-0.2942	0.128	0.5504
CX1	PPP2R1A	166	5044	-0.5321	0.005793	-0.5379	2.066e-10	2.309788e-08
CX1	PMS1	124	5086	-0.7674	0.007087	-0.7745	9.938e-11	1.433835e-08
CX1	GTF2I	36	5174	0.006051	-0.01147	0.01752	0.9114	0.986394191674734
CX1	RHOA	49	5161	-0.204	-0.009517	-0.1945	0.2102	0.672045682451254
CX1	CCND1	333	4877	-0.0803	-0.006637	-0.07366	0.1405	0.577496323529412
CX1	RAC1	235	4975	-0.09023	-0.007619	-0.08261	0.1729	0.641281848184818
CX1	SPOP	195	5015	-0.1665	-0.005313	-0.1612	0.01212	0.184621081081081
CX1	GNA11	53	5157	0.2311	-0.01384	0.2449	0.09962	0.488487543859649
CX1	EIF1AX	86	5124	-0.1924	-0.008306	-0.1841	0.09487	0.481838035714286
CX1	IDH2	76	5134	-0.5255	-0.003734	-0.5218	0.0003573	0.0117488647058824
CX1	PCBP1	128	5082	-0.6371	0.004415	-0.6415	1.878e-11	3.49934e-09
CX1	CDK4	193	5017	-0.1106	-0.007527	-0.1031	0.1143	0.526334156378601
CX1	UNCX	22	5188	-0.3967	-0.009711	-0.387	0.07277	0.421538134715026
CX1	MYC	258	4952	-0.4104	0.009446	-0.4198	7.154e-10	7.27106545454546e-08
CX1	GNAQ	53	5157	0.2722	-0.01426	0.2865	0.01964	0.236102365591398
CX1	U2AF1	92	5118	-0.6385	-7.183e-05	-0.6384	1.235e-07	9.86235714285714e-06
CX1	TP53	2031	3179	-0.259	0.1469	-0.4059	7.804e-48	8.724872e-45
CX1	ANAPC4	26	5184	-0.09874	-0.01091	-0.08783	0.6169	0.902240519480519
CX1	PIK3R1	113	5097	0.278	-0.01776	0.2958	0.0009871	0.0290415210526316
CX1	RB1	226	4984	-0.1197	-0.006431	-0.1133	0.07787	0.437480703517588
CX1	NF1	228	4982	0.06808	-0.01498	0.08306	0.1959	0.661680362537764
CX1	HMG20B	7	5203	-0.8661	-0.0102	-0.8559	0.1384	0.576391111111111
CX1	TUBA4A	19	5191	0.1794	-0.01204	0.1914	0.3044	0.733446551724138
CX1	USP9X	105	5105	-0.07251	-0.01009	-0.06242	0.5212	0.853150219619326
CX1	PTEN	448	4762	0.1596	-0.02743	0.187	5.341e-05	0.002132585
CX1	UBC	28	5182	-0.07532	-0.011	-0.06432	0.7109	0.923895622119816
CX1	CENPF	105	5105	0.1489	-0.01464	0.1635	0.04651	0.354489659863946
CX1	KDM7A	37	5173	0.2219	-0.01301	0.2349	0.1179	0.529366265060241
CX1	PSME4	62	5148	-0.169	-0.009447	-0.1596	0.2267	0.675828042328042
CX1	KMT2C	368	4842	-0.0423	-0.008992	-0.03331	0.5429	0.862162215909091
CX1	ATRX	287	4923	0.1642	-0.02158	0.1858	0.001532	0.0417750243902439
CX1	CDKN2C	12	5198	0.8702	-0.01338	0.8836	1.147e-05	0.000534310833333333
CX1	ATR	122	5088	-0.1096	-0.008988	-0.1006	0.3034	0.732615982721382
CX1	MCM7	44	5166	-0.05103	-0.01101	-0.04002	0.8091	0.960603601694915
CX1	RTEL1	37	5173	-0.1027	-0.01069	-0.09201	0.573	0.882558734525447
CX1	MTA2	30	5180	-0.1376	-0.01061	-0.127	0.4267	0.805223946037099
CX1	NEDD1	25	5185	-0.2565	-0.01016	-0.2463	0.2924	0.725088691796009
CX1	CDK12	83	5127	-0.4146	-0.004817	-0.4098	0.001417	0.0406206666666667
CX1	STAG1	66	5144	-0.05134	-0.01083	-0.04051	0.7579	0.942527474972191
CX1	FGFR1OP	10	5200	-0.2115	-0.01096	-0.2005	0.624	0.902933247089262
CX1	HIST1H3E	12	5198	-0.6623	-0.009843	-0.6525	0.03341	0.29881904
CX1	DYNC1H1	134	5076	-0.1228	-0.008402	-0.1144	0.1919	0.658833639143731
CX1	PLK1	26	5184	-0.04586	-0.01117	-0.03469	0.8657	0.965180658025922
CX1	NME7	21	5189	-0.3668	-0.009907	-0.3569	0.2186	0.675123756906077
CX1	ALK	95	5115	-0.2138	-0.007585	-0.2062	0.05066	0.365806751592357
CX1	ARID1B	116	5094	-0.2548	-0.005802	-0.249	0.01355	0.18936125
CX1	ATM	189	5021	-0.01711	-0.01113	-0.00598	0.931	0.993185114503817
CX1	EP400	115	5095	0.06137	-0.01299	0.07436	0.3524	0.750747547169811
CX1	CASC5	78	5132	-0.07571	-0.01037	-0.06534	0.5525	0.872289136490251
CX1	NEIL1	10	5200	0.02474	-0.01141	0.03615	0.8512	0.965180658025922
CX1	KAT2B	31	5179	0.05151	-0.01172	0.06323	0.6942	0.918310223266745
CX1	PRDM9	191	5019	-0.1521	-0.005989	-0.1461	0.03537	0.311367401574803
CX1	WRN	56	5154	-0.09545	-0.01043	-0.08502	0.5424	0.862162215909091
CX1	POLA1	41	5169	0.1318	-0.01248	0.1443	0.3135	0.735758893280632
CX1	KMT2D	400	4810	-0.1111	-0.003052	-0.108	0.03159	0.298406016260163
CX1	NEK9	25	5185	-0.2256	-0.01031	-0.2153	0.3472	0.747918304431599
CX1	CEP152	49	5161	0.03329	-0.01177	0.04506	0.6953	0.918310223266745
CX1	COPS2	23	5187	-0.452	-0.009392	-0.4426	0.06311	0.396387528089888
CX1	CTDNEP1	8	5202	0.2249	-0.01171	0.2366	0.2765	0.709853424657534
CX1	GPS1	16	5194	-0.4356	-0.01004	-0.4256	0.1347	0.569969056603774
CX1	LIN37	10	5200	-0.003734	-0.01136	0.007626	0.9785	1
CX1	CUL3	66	5144	-0.2368	-0.008453	-0.2283	0.08623	0.46348625
CX1	POLQ	124	5086	-0.2392	-0.00579	-0.2334	0.007759	0.13554003125
CX1	YEATS2	58	5152	-0.01548	-0.0113	-0.00418	0.9731	1
CX1	TEX15	124	5086	-0.01759	-0.01119	-0.0064	0.9435	0.995125471698113
CX1	SMARCA2	89	5121	-0.04119	-0.01083	-0.03036	0.7524	0.936854120267261
CX1	ELP4	27	5183	0.1631	-0.01225	0.1754	0.329	0.735758893280632
CX1	TBX3	51	5159	0.01183	-0.01157	0.0234	0.8516	0.965180658025922
CX1	NCOR2	97	5113	-0.08184	-0.01001	-0.07183	0.5121	0.849348740740741
CX1	MNAT1	8	5202	-0.5935	-0.01045	-0.5831	0.1959	0.661680362537764
CX1	BLM	38	5172	-0.4367	-0.00822	-0.4285	0.03017	0.298406016260163
CX1	SETD1A	66	5144	-0.1417	-0.009673	-0.132	0.3114	0.735758893280632
CX1	CREBBP	153	5057	-0.1035	-0.008557	-0.09494	0.2651	0.696720843091335
CX1	TOP2A	45	5165	-0.1314	-0.0103	-0.1211	0.3837	0.77713152173913
CX1	NEK2	15	5195	0.07881	-0.01161	0.09042	0.7499	0.936854120267261
CX1	TAF5L	21	5189	0.1566	-0.01203	0.1686	0.3499	0.750107456978968
CX1	E2F1	17	5193	0.2942	-0.01235	0.3066	0.2694	0.702072727272727
CX1	SMARCB1	23	5187	0.166	-0.01213	0.1781	0.4066	0.790571826086957
CX1	CDC25A	18	5192	0.01209	-0.01143	0.02352	0.9347	0.995125471698113
CX1	IL7R	67	5143	-0.07951	-0.01046	-0.06905	0.5568	0.872289136490251
CX1	NIPBL	128	5082	-0.07947	-0.009629	-0.06984	0.4794	0.831298159509202
CX1	MAP3K1	85	5125	0.1846	-0.0146	0.1992	0.05356	0.3742505
CX1	KMT2E	73	5137	-0.2517	-0.00793	-0.2438	0.05893	0.389787411764706
CX1	RHEB	13	5197	-0.3969	-0.01038	-0.3865	0.287	0.719430493273542
CX1	PRKDC	166	5044	-0.1626	-0.006368	-0.1562	0.04962	0.362582745098039
CX1	TLR4	107	5103	-0.1115	-0.009246	-0.1023	0.2836	0.719430493273542
CX1	SET	14	5196	-0.1796	-0.01089	-0.1687	0.5808	0.8827728
CX1	JAK2	35	5175	-0.01027	-0.01135	0.00108	0.9938	1
CX1	KEAP1	120	5090	-0.1998	-0.006903	-0.1929	0.03043	0.298406016260163
CX1	DOT1L	52	5158	-0.1354	-0.0101	-0.1253	0.4353	0.811385714285714
CX1	PADI4	31	5179	-0.03236	-0.01122	-0.02114	0.9056	0.983080194174757
CX1	ALMS1	160	5050	-0.09395	-0.008728	-0.08522	0.242	0.691334693877551
CX1	CKAP5	51	5159	-0.08273	-0.01064	-0.07209	0.5868	0.8827728
CX1	POLR2G	11	5199	0.4374	-0.01229	0.4497	0.0249	0.2748775
CX1	MORF4L1	18	5192	-0.5532	-0.009467	-0.5437	0.01085	0.170849295774648
CX1	PRKCB	70	5140	-0.2073	-0.008677	-0.1986	0.09804	0.482857797356828
CX1	CEP192	83	5127	-0.1874	-0.008495	-0.1789	0.1248	0.542904280155642
CX1	CARM1	15	5195	-0.3022	-0.01051	-0.2917	0.2778	0.709853424657534
CX1	TUBA3E	16	5194	-0.3793	-0.01021	-0.3691	0.0702	0.419698395721925
CX1	TUBA3D	28	5182	-0.08049	-0.01097	-0.06952	0.6967	0.918310223266745
CX1	FBXL7	70	5140	-0.09601	-0.01019	-0.08582	0.4829	0.831298159509202
CX1	NUP43	19	5191	-0.5637	-0.009324	-0.5544	0.01295	0.185616666666667
CX1	AKAP9	160	5050	-0.1706	-0.006301	-0.1643	0.04545	0.354489659863946
CX1	ODF2	33	5177	-0.06843	-0.01098	-0.05745	0.7678	0.947461810154525
CX1	NFKB2	24	5186	0.305	-0.01281	0.3178	0.05639	0.381669036144578
CX1	SYCP3	10	5200	-0.2896	-0.01081	-0.2788	0.4473	0.81840522875817
CX1	H3F3C	14	5196	-0.8576	-0.009065	-0.8485	0.007109	0.127913396825397
CX1	TIMELESS	48	5162	-0.04203	-0.01106	-0.03097	0.8252	0.961943419689119
CX1	TP53BP1	82	5128	0.01336	-0.01174	0.0251	0.8007	0.958012406417112
CX1	ZWILCH	14	5196	-0.5566	-0.009876	-0.5467	0.04953	0.362582745098039
CX1	PALB2	39	5171	-0.2563	-0.009498	-0.2468	0.155	0.601701388888889
CX1	FTO	26	5184	-0.2143	-0.01033	-0.204	0.3321	0.735758893280632
CX1	ATXN7L3	15	5195	-0.275	-0.01058	-0.2644	0.3421	0.744100778210117
CX1	BRIP1	56	5154	-0.01881	-0.01126	-0.00755	0.9561	0.997126679104478
CX1	NINL	63	5147	-0.09005	-0.01038	-0.07967	0.465	0.827996496815287
CX1	RRM2	14	5196	0.02123	-0.01143	0.03266	0.8919	0.981441141732284
CX1	DBF4	26	5184	-0.361	-0.009592	-0.3514	0.03922	0.332541954887218
CX1	MORF4L2	17	5193	0.01962	-0.01145	0.03107	0.8979	0.982242857142857
CX1	CDK1	9	5201	0.0104	-0.01138	0.02178	0.9524	0.996988014981273
CX1	POLE	87	5123	-0.2414	-0.007438	-0.234	0.04061	0.336310962962963
CX1	SETD3	16	5194	-0.5431	-0.009707	-0.5334	0.04646	0.354489659863946
CX1	USP7	47	5163	-0.0113	-0.01135	5e-05	0.9998	1
CX1	MSL1	13	5197	-0.03937	-0.01128	-0.02809	0.9273	0.992959121298949
CX1	KIF2B	111	5099	-0.1212	-0.008954	-0.1122	0.2139	0.672045682451254
CX1	STK11	64	5146	0.05018	-0.01211	0.06229	0.5738	0.882558734525447
CX1	NUF2	21	5189	0.08916	-0.01175	0.1009	0.6519	0.904248387096774
CX1	MEAF6	7	5203	-0.9623	-0.01007	-0.9522	0.1029	0.50236768558952
CX1	ARID2	150	5060	0.06973	-0.01375	0.08348	0.2885	0.721209821428571
CX1	ELF3	59	5151	-0.06874	-0.01069	-0.05805	0.5922	0.8827728
CX1	ASXL1	71	5139	-0.0476	-0.01084	-0.03676	0.7417	0.935979550561798
CX1	HJURP	34	5176	-0.02893	-0.01123	-0.0177	0.9249	0.992959121298949
CX1	CCNA2	17	5193	-0.1362	-0.01094	-0.1253	0.6368	0.90407904642409
CX1	FAT1	231	4979	0.07906	-0.01554	0.0946	0.1078	0.514943220338983
CX1	HGF	96	5114	-0.1431	-0.008872	-0.1342	0.1619	0.622007560137457
CX1	RAB2A	10	5200	-0.2159	-0.01095	-0.205	0.4025	0.7880823117338
CX1	STAG2	96	5114	0.05004	-0.0125	0.06254	0.526	0.8567
CX1	AMER1	96	5114	0.08582	-0.01317	0.09899	0.2952	0.725235371179039
CX1	OPTN	16	5194	-0.333	-0.01035	-0.3226	0.3028	0.732615982721382
CX1	ERCC6	29	5181	-0.3029	-0.009713	-0.2932	0.1222	0.537872440944882
CX1	ZWINT	29	5181	-0.504	-0.008588	-0.4954	0.01222	0.184621081081081
CX1	CTNND1	46	5164	-0.1527	-0.01009	-0.1426	0.1755	0.643487296416938
CX1	SUV420H1	45	5165	-0.2105	-0.009611	-0.2009	0.1525	0.596136363636364
CX1	MDM2	26	5184	-0.1901	-0.01045	-0.1796	0.4223	0.805223946037099
CX1	PHLDA1	14	5196	0.2778	-0.01212	0.2899	0.05579	0.381669036144578
CX1	TMPO	28	5182	-0.2898	-0.009841	-0.28	0.1144	0.526334156378601
CX1	LIG4	43	5167	-0.1096	-0.01053	-0.09907	0.4112	0.796744540727903
CX1	CDC16	19	5191	-0.4042	-0.009907	-0.3943	0.2059	0.672045682451254
CX1	BRCA2	158	5052	-0.406	0.0009968	-0.407	5.272e-07	3.92939733333333e-05
CX1	PSMB5	15	5195	-0.2626	-0.01062	-0.252	0.2733	0.707290277777778
CX1	ARID4A	53	5157	-0.1148	-0.01028	-0.1045	0.4355	0.811385714285714
CX1	TDP1	24	5186	-0.3346	-0.00985	-0.3248	0.1383	0.576391111111111
CX1	RBL2	48	5162	-0.148	-0.01007	-0.1379	0.3708	0.765479335793358
CX1	GINS2	4	5206	-0.6691	-0.01084	-0.6583	0.1504	0.593128421052632
CX1	RNF43	56	5154	0.1109	-0.01267	0.1236	0.3576	0.750926829268293
CX1	RAB8A	9	5201	-0.06392	-0.01125	-0.05267	0.8643	0.965180658025922
CX1	RUVBL2	23	5187	0.4108	-0.01322	0.424	0.004685	0.102702549019608
CX1	TUBB4A	29	5181	0.09948	-0.01197	0.1114	0.4876	0.834147480916031
CX1	EPHA2	65	5145	-0.08715	-0.01039	-0.07676	0.5587	0.872289136490251
CX1	TPR	89	5121	-0.2329	-0.007496	-0.2254	0.0386	0.33196
CX1	SMYD3	26	5184	-0.2946	-0.009925	-0.2847	0.1738	0.641281848184818
CX1	THRAP3	44	5166	-0.1149	-0.01046	-0.1044	0.4439	0.818214449917898
CX1	DIDO1	125	5085	-0.2186	-0.006251	-0.2123	0.02678	0.280335887850467
CX1	MCM5	23	5187	-0.5794	-0.008827	-0.5706	0.03228	0.298406016260163
CX1	PIK3CB	54	5156	-0.02744	-0.01118	-0.01626	0.8998	0.982398828125
CX1	CLASP2	49	5161	-0.1974	-0.009579	-0.1878	0.2176	0.674206648199446
CX1	APC	340	4870	0.2051	-0.02646	0.2316	5.01e-08	4.3086e-06
CX1	SYNE1	528	4682	-0.1504	0.004336	-0.1547	0.0003179	0.01110663125
CX1	HIST1H4H	8	5202	-0.6752	-0.01032	-0.6649	0.04613	0.354489659863946
CX1	NUP205	69	5141	-0.2191	-0.008557	-0.2105	0.09654	0.481838035714286
CX1	SUN1	27	5183	-0.1552	-0.0106	-0.1446	0.4457	0.818214449917898
CX1	STAG3	42	5168	-0.0468	-0.01106	-0.03574	0.8089	0.960603601694915
CX1	SPIDR	34	5176	-0.1263	-0.01059	-0.1157	0.5031	0.841415797317437
CX1	RAD9A	12	5198	0.4075	-0.01231	0.4198	0.04859	0.359759072847682
CX1	AQR	60	5150	-0.01438	-0.01131	-0.00307	0.9782	1
CX1	RNF111	48	5162	-0.08305	-0.01068	-0.07237	0.5602	0.872289136490251
CX1	PKMYT1	11	5199	-0.191	-0.01097	-0.18	0.6304	0.90407904642409
CX1	PSMD12	18	5192	-0.2563	-0.0105	-0.2458	0.2777	0.709853424657534
CX1	PADI1	30	5180	0.1161	-0.01208	0.1282	0.3753	0.768088482632541
CX1	KIF2C	24	5186	-0.3365	-0.009841	-0.3267	0.09134	0.477187476635514
CX1	MUTYH	16	5194	-0.05421	-0.01121	-0.043	0.8725	0.968267857142857
CX1	MSH4	49	5161	-0.1159	-0.01035	-0.1056	0.4282	0.805335798319328
CX1	CSRP2BP	29	5181	0.0852	-0.01189	0.09709	0.4813	0.831298159509202
CX1	TUBB1	18	5192	-0.05748	-0.01119	-0.04629	0.8373	0.964232
CX1	RIF1	80	5130	-0.1357	-0.009406	-0.1263	0.2658	0.696720843091335
CX1	NUP210	59	5151	-0.09137	-0.01043	-0.08094	0.5383	0.862162215909091
CX1	POLR2H	8	5202	-0.1524	-0.01113	-0.1413	0.6085	0.89822977602108
CX1	PLK4	27	5183	-0.1078	-0.01084	-0.09696	0.6233	0.902933247089262
CX1	FBXW7	192	5018	-0.3242	0.0006268	-0.3248	4.612e-05	0.00198316
CX1	CENPC	28	5182	0.08819	-0.01188	0.1001	0.5917	0.8827728
CX1	REV3L	104	5106	-0.1984	-0.007535	-0.1909	0.06699	0.409163695652174
CX1	EYA4	58	5152	-0.1391	-0.009907	-0.1292	0.2867	0.719430493273542
CX1	PPP2R2A	23	5187	-0.1012	-0.01095	-0.09025	0.7043	0.92094432748538
CX1	FGFR1	30	5180	-0.07165	-0.011	-0.06065	0.734	0.933021818181818
CX1	ANAPC2	33	5177	0.06852	-0.01185	0.08037	0.6605	0.909664206642066
CX1	GTF2H1	16	5194	-0.3513	-0.0103	-0.341	0.1507	0.593128421052632
CX1	DCTN2	12	5198	0.3647	-0.01221	0.3769	0.05488	0.381092173913043
CX1	AZI1	35	5175	-0.1988	-0.01008	-0.1887	0.3155	0.735758893280632
CX1	MAD1L1	29	5181	-0.2569	-0.009971	-0.2469	0.2275	0.675828042328042
CX1	NUP214	67	5143	-0.02794	-0.01113	-0.01681	0.8943	0.982086274509804
CX1	NCAPD3	46	5164	-0.1777	-0.009864	-0.1678	0.262	0.696720843091335
CX1	UBE2L6	6	5204	-0.2831	-0.01103	-0.2721	0.6445	0.90407904642409
CX1	PPME1	6	5204	-0.2438	-0.01108	-0.2327	0.6505	0.904248387096774
CX1	RSF1	51	5159	0.1035	-0.01248	0.116	0.3206	0.735758893280632
CX1	SETD6	11	5199	-0.2376	-0.01087	-0.2267	0.431	0.807132328308208
CX1	NOTCH2	97	5113	0.05613	-0.01263	0.06876	0.4882	0.834147480916031
CX1	TOPBP1	44	5166	-0.3178	-0.008735	-0.3091	0.01565	0.213374390243902
CX1	POLB	12	5198	-0.4378	-0.01036	-0.4274	0.1994	0.669804747774481
CX1	UTY	15	5195	0.04053	-0.0115	0.05203	0.8547	0.965180658025922
CX1	SETDB2	30	5180	-0.32	-0.009558	-0.3104	0.1087	0.514943220338983
CX1	MGA	122	5088	-0.1857	-0.007166	-0.1785	0.07265	0.421538134715026
CX1	SIN3A	50	5160	0.1901	-0.0133	0.2034	0.07209	0.421538134715026
CX1	RAD51C	3	5207	-2.54	-0.009889	-2.53	0.02318	0.261770101010101
CX1	SYCP1	76	5134	-0.1689	-0.009013	-0.1599	0.1666	0.633533333333333
CX1	ZZZ3	40	5170	-0.2913	-0.009179	-0.2821	0.1246	0.542904280155642
CX1	DMC1	9	5201	0.06177	-0.01147	0.07324	0.8387	0.964232
CX1	HIST1H4J	16	5194	0.1046	-0.0117	0.1163	0.6107	0.898371842105263
CX1	NCAPG2	32	5178	0.07961	-0.01191	0.09152	0.4806	0.831298159509202
CX1	PPP2CB	15	5195	-0.2911	-0.01054	-0.2806	0.4271	0.805223946037099
CX1	EHMT1	35	5175	0.05127	-0.01177	0.06304	0.6969	0.918310223266745
CX1	INO80C	8	5202	-0.4867	-0.01061	-0.4761	0.332	0.735758893280632
CX1	ASH1L	111	5099	-0.1232	-0.008911	-0.1143	0.224	0.675828042328042
CX1	PSMD14	7	5203	-0.1076	-0.01122	-0.09638	0.8108	0.960603601694915
CX1	SGOL2	41	5169	0.04218	-0.01177	0.05395	0.6903	0.918310223266745
CX1	MCM3	26	5184	0.009773	-0.01145	0.02122	0.9106	0.986394191674734
CX1	PRIM2	31	5179	-0.1918	-0.01027	-0.1815	0.3559	0.750747547169811
CX1	INCENP	30	5180	-0.2005	-0.01025	-0.1902	0.4127	0.798267474048443
CX1	PCNT	104	5106	-0.2175	-0.007146	-0.2104	0.02984	0.298406016260163
CX1	NPM1	9	5201	-0.01061	-0.01135	0.00074	0.9985	1
CX1	KIF18A	33	5177	-0.04751	-0.01111	-0.0364	0.8509	0.965180658025922
CX1	PDS5B	58	5152	-0.01812	-0.01127	-0.00685	0.9524	0.996988014981273
CX1	AXIN2	52	5158	-0.1811	-0.009634	-0.1715	0.2835	0.719430493273542
CX1	PRKCA	32	5178	-0.1246	-0.01065	-0.114	0.5109	0.848716493313522
CX1	POLR2A	58	5152	0.04184	-0.01194	0.05378	0.6644	0.911410061349693
CX1	NUP133	46	5164	-0.174	-0.009897	-0.1641	0.2868	0.719430493273542
CX1	RANBP2	120	5090	-0.02093	-0.01112	-0.00981	0.918	0.990660231660232
CX1	MSH6	43	5167	0.05723	-0.01192	0.06915	0.6382	0.90407904642409
CX1	HAUS3	13	5197	-0.2922	-0.01064	-0.2816	0.4161	0.800242538593482
CX1	GATA3	108	5102	0.06138	-0.01288	0.07426	0.404	0.788258289703316
CX1	KDM2A	41	5169	-0.2317	-0.009598	-0.2221	0.1487	0.593128421052632
CX1	CDKN1B	25	5185	-0.06408	-0.01109	-0.05299	0.8274	0.961943419689119
CX1	KDM5A	65	5145	-0.1424	-0.009689	-0.1327	0.2971	0.725235371179039
CX1	SEH1L	10	5200	-0.1457	-0.01109	-0.1346	0.5837	0.8827728
CX1	NCOA1	60	5150	-0.1232	-0.01004	-0.1132	0.3539	0.750747547169811
CX1	MCM2	26	5184	-0.1063	-0.01087	-0.09543	0.6641	0.911410061349693
CX1	SKP2	16	5194	-0.4507	-0.009992	-0.4407	0.09371	0.481838035714286
CX1	HAUS6	33	5177	0.05169	-0.01175	0.06344	0.712	0.923895622119816
CX1	KAT6B	56	5154	-0.02575	-0.01119	-0.01456	0.9044	0.983080194174757
CX1	TUBB8	33	5177	-0.2111	-0.01007	-0.201	0.2757	0.709853424657534
CX1	EME2	7	5203	0.08294	-0.01147	0.09441	0.8287	0.961943419689119
CX1	BRCA1	139	5071	-1.122	0.0191	-1.141	1.778e-19	6.62601333333333e-17
CX1	CLASP1	41	5169	-0.02337	-0.01125	-0.01212	0.943	0.995125471698113
CX1	CEP63	33	5177	-0.2676	-0.009712	-0.2579	0.1219	0.537872440944882
CX1	NUP54	16	5194	-0.2723	-0.01054	-0.2618	0.339	0.741846393762183
CX1	XRCC4	11	5199	0.04496	-0.01146	0.05642	0.8718	0.968267857142857
CX1	MCM4	41	5169	0.07875	-0.01206	0.09081	0.5185	0.851942228739003
CX1	JADE3	28	5182	-0.1	-0.01087	-0.08913	0.6615	0.909664206642066
CX1	ARID1A	263	4947	0.1031	-0.01743	0.1205	0.04276	0.341469142857143
CX1	EYA2	38	5172	0.1477	-0.01251	0.1602	0.3238	0.735758893280632
CX1	SETD2	152	5058	0.1993	-0.01768	0.217	0.005779	0.11585275
CX1	TUBB4B	16	5194	0.09767	-0.01168	0.1094	0.6809	0.918310223266745
CX1	DCTN1	51	5159	-0.03119	-0.01115	-0.02004	0.8917	0.981441141732284
CX1	CDKN2A	204	5006	0.015	-0.01242	0.02742	0.6607	0.909664206642066
CX1	BTRC	27	5183	-0.05073	-0.01114	-0.03959	0.8545	0.965180658025922
CX1	TUBGCP2	35	5175	-0.1418	-0.01046	-0.1313	0.456	0.822811935483871
CX1	PPP2R1B	23	5187	-0.1694	-0.01064	-0.1588	0.4397	0.815231509121061
CX1	INPPL1	59	5151	-0.02467	-0.01119	-0.01348	0.919	0.990783027965285
CX1	WEE1	18	5192	-0.1409	-0.0109	-0.13	0.6781	0.918310223266745
CX1	ANKLE2	38	5172	0.2533	-0.01329	0.2666	0.04797	0.3575364
