MoleculeType	code	gene	DNARepairMechanism
Proteins	UniProt:P18887	XRCC1	BER
Proteins	UniProt:Q96T60	PNKP	BER
Proteins	UniProt:P06746	POLB	BER
Proteins	UniProt:P27695	APEX1	BER
Proteins	UniProt:P39748	FEN1	BER
Proteins	UniProt:Q86W56	PARG	BER
Proteins	UniProt:Q9UGN5	PARP2	BER
Proteins	UniProt:P09874	PARP1	BER
Proteins	UniProt:P18858	LIG1	BER
Proteins	UniProt:Q9NX46	ADPRS	BER
Proteins	UniProt:P35250	RFC2	BER
Proteins	UniProt:P35251	RFC1	BER
Proteins	UniProt:P40937	RFC5	BER
Proteins	UniProt:P35249	RFC4	BER
Proteins	UniProt:P40938	RFC3	BER
Proteins	UniProt:P12004	PCNA	BER
Proteins	UniProt:P56282	POLE2	BER
Proteins	UniProt:Q07864	POLE	BER
Proteins	UniProt:Q9NRF9	POLE3	BER
Proteins	UniProt:Q9NR33	POLE4	BER
Proteins	UniProt:P28340	POLD1	BER
Proteins	UniProt:P49005	POLD2	BER
Proteins	UniProt:Q15054	POLD3	BER
Proteins	UniProt:Q9HCU8	POLD4	BER
Proteins	UniProt:P27694	RPA1	BER
Proteins	UniProt:P35244	RPA3	BER
Proteins	UniProt:P15927	RPA2	BER
Proteins	UniProt:Q9NZ71	RTEL1	HR
Proteins	UniProt:O60934	NBN	HR
Proteins	UniProt:P49959	MRE11	HR
Proteins	UniProt:Q92878	RAD50	HR
Proteins	UniProt:Q96B01	RAD51AP1	HR
Proteins	UniProt:Q86YC2	PALB2	HR
Proteins	UniProt:Q99728	BARD1	HR
Proteins	UniProt:P38398	BRCA1	HR
Proteins	UniProt:Q99708	RBBP8	HR
Proteins	UniProt:Q06609	RAD51	HR
Proteins	UniProt:P51587	BRCA2	HR
Proteins	UniProt:Q13315	ATM	HR
Proteins	UniProt:O43543	XRCC2	HR
Proteins	UniProt:O15315	RAD51B	HR
Proteins	UniProt:O75771	RAD51D	HR
Proteins	UniProt:O43502	RAD51C	HR
Proteins	UniProt:Q9BX63	BRIP1	HR
Proteins	UniProt:Q92993	KAT5	HR
Proteins	UniProt:P51530	DNA2	HR
Proteins	UniProt:P54132	BLM	HR
Proteins	UniProt:Q13472	TOP3A	HR
Proteins	UniProt:Q96E14	RMI2	HR
Proteins	UniProt:Q9H9A7	RMI1	HR
Proteins	UniProt:Q14191	WRN	HR
Proteins	UniProt:Q9UQ84	EXO1	HR
Proteins	UniProt:O43542	XRCC3	HR
Proteins	UniProt:Q17RS7	GEN1	HR
Proteins	UniProt:Q9BQ83	SLX1A	HR
Proteins	UniProt:Q8IY92	SLX4	HR
Proteins	UniProt:A4GXA9	EME2	HR
Proteins	UniProt:Q96NY9	MUS81	HR
Proteins	UniProt:Q96AY2	EME1	HR
Proteins	UniProt:Q14159	SPIDR	HR
Proteins	UniProt:O14757	CHEK1	HR
Proteins	UniProt:P35250	RFC2	HR
Proteins	UniProt:O75943	RAD17	HR
Proteins	UniProt:P40937	RFC5	HR
Proteins	UniProt:P35249	RFC4	HR
Proteins	UniProt:P40938	RFC3	HR
Proteins	UniProt:Q9BSD3	RHNO1	HR
Proteins	UniProt:Q92547	TOPBP1	HR
Proteins	UniProt:O60921	HUS1	HR
Proteins	UniProt:Q99638	RAD9A	HR
Proteins	UniProt:Q6WBX8	RAD9B	HR
Proteins	UniProt:O60671	RAD1	HR
Proteins	UniProt:Q8WXE1	ATRIP	HR
Proteins	UniProt:Q13535	ATR	HR
Proteins	UniProt:P35244	RPA3	HR
Proteins	UniProt:P15927	RPA2	HR
Proteins	UniProt:P27694	RPA1	HR
Proteins	UniProt:P35251	RFC1	HR
Proteins	UniProt:P12004	PCNA	HR
Proteins	UniProt:P56282	POLE2	HR
Proteins	UniProt:Q07864	POLE	HR
Proteins	UniProt:Q9NRF9	POLE3	HR
Proteins	UniProt:Q9NR33	POLE4	HR
Proteins	UniProt:P28340	POLD1	HR
Proteins	UniProt:P49005	POLD2	HR
Proteins	UniProt:Q15054	POLD3	HR
Proteins	UniProt:Q9HCU8	POLD4	HR
Proteins	UniProt:P0CG48	UBC	HR
Proteins	UniProt:P0CG47	UBB	HR
Proteins	UniProt:P62987	UBA52	HR
Proteins	UniProt:P62979	RPS27A	HR
Proteins	UniProt:Q9UBT6	POLK	HR
Proteins	UniProt:Q9Y253	POLH	HR
Proteins	UniProt:P43246	MSH2	MMR
Proteins	UniProt:P52701	MSH6	MMR
Proteins	UniProt:P18858	LIG1	MMR
Proteins	UniProt:P28340	POLD1	MMR
Proteins	UniProt:P49005	POLD2	MMR
Proteins	UniProt:Q15054	POLD3	MMR
Proteins	UniProt:Q9HCU8	POLD4	MMR
Proteins	UniProt:P27694	RPA1	MMR
Proteins	UniProt:P35244	RPA3	MMR
Proteins	UniProt:P15927	RPA2	MMR
Proteins	UniProt:P40692	MLH1	MMR
Proteins	UniProt:P54278	PMS1	MMR
Proteins	UniProt:P54278	PMS2	MMR
Proteins	UniProt:P12004	PCNA	MMR
Proteins	UniProt:Q9UQ84	EXO1	MMR
Proteins	UniProt:P20585	MSH3	MMR
Proteins	UniProt:Q2YD98	UVSSA	NER
Proteins	UniProt:Q93009	USP7	NER
Proteins	UniProt:Q9UNP9	PPIE	NER
Proteins	UniProt:Q9HCS7	XAB2	NER
Proteins	UniProt:Q9UMS4	PRPF19	NER
Proteins	UniProt:Q9ULR0	ISY1	NER
Proteins	UniProt:Q96NB3	ZNF830	NER
Proteins	UniProt:O60306	AQR	NER
Proteins	UniProt:Q16531	DDB1	NER
Proteins	UniProt:Q13216	ERCC8	NER
Proteins	UniProt:P62877	RBX1	NER
Proteins	UniProt:Q13619	CUL4A	NER
Proteins	UniProt:Q13620	CUL4B	NER
Proteins	UniProt:Q92759	GTF2H4	NER
Proteins	UniProt:P19447	ERCC3	NER
Proteins	UniProt:Q13889	GTF2H3	NER
Proteins	UniProt:Q13888	GTF2H2	NER
Proteins	UniProt:P32780	GTF2H1	NER
Proteins	UniProt:Q6ZYL4	GTF2H5	NER
Proteins	UniProt:P50613	CDK7	NER
Proteins	UniProt:P51948	MNAT1	NER
Proteins	UniProt:P51946	CCNH	NER
Proteins	UniProt:P18074	ERCC2	NER
Proteins	UniProt:P19388	POLR2E	NER
Proteins	UniProt:P62875	POLR2L	NER
Proteins	UniProt:P61218	POLR2F	NER
Proteins	UniProt:P52434	POLR2H	NER
Proteins	UniProt:P36954	POLR2I	NER
Proteins	UniProt:P52435	POLR2J	NER
Proteins	UniProt:P0CG48	UBC	NER
Proteins	UniProt:P0CG47	UBB	NER
Proteins	UniProt:P62987	UBA52	NER
Proteins	UniProt:P62979	RPS27A	NER
Proteins	UniProt:P30876	POLR2B	NER
Proteins	UniProt:P53803	POLR2K	NER
Proteins	UniProt:P19387	POLR2C	NER
Proteins	UniProt:O15514	POLR2D	NER
Proteins	UniProt:P24928	POLR2A	NER
Proteins	UniProt:P62487	POLR2G	NER
Proteins	UniProt:Q03468	ERCC6	NER
Proteins	UniProt:P23193	TCEA1	NER
Proteins	UniProt:Q09472	EP300	NER
Proteins	UniProt:P23025	XPA	NER
Proteins	UniProt:P05114	HMGN1	NER
Proteins	UniProt:Q9UBT6	POLK	NER
Proteins	UniProt:P56282	POLE2	NER
Proteins	UniProt:Q07864	POLE	NER
Proteins	UniProt:Q9NRF9	POLE3	NER
Proteins	UniProt:Q9NR33	POLE4	NER
Proteins	UniProt:P28340	POLD1	NER
Proteins	UniProt:P49005	POLD2	NER
Proteins	UniProt:Q15054	POLD3	NER
Proteins	UniProt:Q9HCU8	POLD4	NER
Proteins	UniProt:P12004	PCNA	NER
Proteins	UniProt:P35250	RFC2	NER
Proteins	UniProt:P35251	RFC1	NER
Proteins	UniProt:P40937	RFC5	NER
Proteins	UniProt:P35249	RFC4	NER
Proteins	UniProt:P40938	RFC3	NER
Proteins	UniProt:P27694	RPA1	NER
Proteins	UniProt:P35244	RPA3	NER
Proteins	UniProt:P15927	RPA2	NER
Proteins	UniProt:Q92889	ERCC4	NER
Proteins	UniProt:P07992	ERCC1	NER
Proteins	UniProt:P28715	ERCC5	NER
Proteins	UniProt:P49916	LIG3	NER
Proteins	UniProt:P18887	XRCC1	NER
Proteins	UniProt:P18858	LIG1	NER
Proteins	UniProt:Q99627	COPS8	NER
Proteins	UniProt:P61201	COPS2	NER
Proteins	UniProt:Q7L5N1	COPS6	NER
Proteins	UniProt:Q13098	GPS1	NER
Proteins	UniProt:Q9UBW8	COPS7A	NER
Proteins	UniProt:Q9H9Q2	COPS7B	NER
Proteins	UniProt:Q9BT78	COPS4	NER
Proteins	UniProt:Q92905	COPS5	NER
Proteins	UniProt:Q9UNS2	COPS3	NER
Proteins	UniProt:P55199	ELL	NER
Proteins	UniProt:Q86WJ1	CHD1L	NER
Proteins	UniProt:Q9UGN5	PARP2	NER
Proteins	UniProt:P09874	PARP1	NER
Proteins	UniProt:Q92466	DDB2	NER
Proteins	UniProt:Q01831	XPC	NER
Proteins	UniProt:P54725	RAD23A	NER
Proteins	UniProt:P54727	RAD23B	NER
Proteins	UniProt:P41208	CETN2	NER
Proteins	UniProt:Q53TQ3	INO80D	NER
Proteins	UniProt:Q8NBZ0	INO80E	NER
Proteins	UniProt:Q9H9F9	ACTR5	NER
Proteins	UniProt:Q9C086	INO80B	NER
Proteins	UniProt:Q9H981	ACTR8	NER
Proteins	UniProt:Q96EZ8	MCRS1	NER
Proteins	UniProt:P0C1Z6	TFPT	NER
Proteins	UniProt:Q6PI98	INO80C	NER
Proteins	UniProt:P60709	ACTB	NER
Proteins	UniProt:Q9Y265	RUVBL1	NER
Proteins	UniProt:P25490	YY1	NER
Proteins	UniProt:Q9ULG1	INO80	NER
Proteins	UniProt:Q6P4R8	NFRKB	NER
Proteins	UniProt:O96019	ACTL6A	NER
Proteins	UniProt:Q6ZNA4	RNF111	NER
Proteins	UniProt:P55854	SUMO3	NER
Proteins	UniProt:P61956	SUMO2	NER
Proteins	UniProt:P63165	SUMO1	NER
Proteins	UniProt:Q15819	UBE2V2	NER
Proteins	UniProt:P61088	UBE2N	NER
Proteins	UniProt:O75925	PIAS1	NER
Proteins	UniProt:Q9Y6X2	PIAS3	NER
Proteins	UniProt:P63279	UBE2I	NER
Proteins	UniProt:Q70EL2	USP45	NER
Proteins	UniProt:O95551	TDP2	NHEJ
Proteins	UniProt:Q9NUW8	TDP1	NHEJ
Proteins	UniProt:P12956	XRCC6	NHEJ
Proteins	UniProt:P13010	XRCC5	NHEJ
Proteins	UniProt:P78527	PRKDC	NHEJ
Proteins	UniProt:Q96SD1	DCLRE1C	NHEJ
Proteins	UniProt:Q9H9Q4	NHEJ1	NHEJ
Proteins	UniProt:Q13426	XRCC4	NHEJ
Proteins	UniProt:P49917	LIG4	NHEJ
Proteins	UniProt:Q9NP87	POLM	NHEJ
Proteins	UniProt:Q9UGP5	POLL	NHEJ
Proteins	UniProt:Q5UIP0	RIF1	NHEJ
Proteins	UniProt:Q9NWV8	BABAM1	NHEJ
Proteins	UniProt:Q9NXR7	BABAM2	NHEJ
Proteins	UniProt:P46736	BRCC3	NHEJ
Proteins	UniProt:Q99728	BARD1	NHEJ
Proteins	UniProt:P38398	BRCA1	NHEJ
Proteins	UniProt:Q96RL1	UIMC1	NHEJ
Proteins	UniProt:Q6UWZ7	ABRAXAS1	NHEJ
Proteins	UniProt:Q8N2W9	PIAS4	NHEJ
Proteins	UniProt:Q8IYW5	RNF168	NHEJ
Proteins	UniProt:O95714	HERC2	NHEJ
Proteins	UniProt:P63165	SUMO1	NHEJ
Proteins	UniProt:O76064	RNF8	NHEJ
Proteins	UniProt:Q15819	UBE2V2	NHEJ
Proteins	UniProt:P61088	UBE2N	NHEJ
Proteins	UniProt:P62805	H4C1	NHEJ
Proteins	UniProt:Q99879	H2BC14	NHEJ
Proteins	UniProt:Q96A08	H2BC1	NHEJ
Proteins	UniProt:P58876	H2BC5	NHEJ
Proteins	UniProt:Q93079	H2BC9	NHEJ
Proteins	UniProt:Q16778	H2BC21	NHEJ
Proteins	UniProt:P23527	H2BC17	NHEJ
Proteins	UniProt:P57053	H2BS1	NHEJ
Proteins	UniProt:Q99877	H2BC15	NHEJ
Proteins	UniProt:P62807	H2BC4	NHEJ
Proteins	UniProt:P06899	H2BC11	NHEJ
Proteins	UniProt:P33778	H2BC3	NHEJ
Proteins	UniProt:O60814	H2BC12	NHEJ
Proteins	UniProt:Q99880	H2BC13	NHEJ
Proteins	UniProt:Q8N257	H2BU1	NHEJ
Proteins	UniProt:Q16695	H3-4	NHEJ
Proteins	UniProt:P16104	H2AX	NHEJ
Proteins	UniProt:Q13315	ATM	NHEJ
Proteins	UniProt:Q92993	KAT5	NHEJ
Proteins	UniProt:O60934	NBN	NHEJ
Proteins	UniProt:P49959	MRE11	NHEJ
Proteins	UniProt:Q92878	RAD50	NHEJ
Proteins	UniProt:Q14676	MDC1	NHEJ
Proteins	UniProt:O96028	NSD2	NHEJ
Proteins	UniProt:Q12888	TP53BP1	NHEJ
Proteins	UniProt:Q6ZW49	PAXIP1	NHEJ
Proteins	UniProt:O60934	NBN	SSA
Proteins	UniProt:P49959	MRE11	SSA
Proteins	UniProt:Q92878	RAD50	SSA
Proteins	UniProt:Q99728	BARD1	SSA
Proteins	UniProt:P38398	BRCA1	SSA
Proteins	UniProt:Q99708	RBBP8	SSA
Proteins	UniProt:Q06609	RAD51	SSA
Proteins	UniProt:Q13315	ATM	SSA
Proteins	UniProt:Q9BX63	BRIP1	SSA
Proteins	UniProt:Q92993	KAT5	SSA
Proteins	UniProt:P51530	DNA2	SSA
Proteins	UniProt:P54132	BLM	SSA
Proteins	UniProt:Q13472	TOP3A	SSA
Proteins	UniProt:Q96E14	RMI2	SSA
Proteins	UniProt:Q9H9A7	RMI1	SSA
Proteins	UniProt:Q14191	WRN	SSA
Proteins	UniProt:Q9UQ84	EXO1	SSA
Proteins	UniProt:P35250	RFC2	SSA
Proteins	UniProt:O75943	RAD17	SSA
Proteins	UniProt:P40937	RFC5	SSA
Proteins	UniProt:P35249	RFC4	SSA
Proteins	UniProt:P40938	RFC3	SSA
Proteins	UniProt:Q9BSD3	RHNO1	SSA
Proteins	UniProt:Q92547	TOPBP1	SSA
Proteins	UniProt:O60921	HUS1	SSA
Proteins	UniProt:Q99638	RAD9A	SSA
Proteins	UniProt:Q6WBX8	RAD9B	SSA
Proteins	UniProt:O60671	RAD1	SSA
Proteins	UniProt:Q8WXE1	ATRIP	SSA
Proteins	UniProt:Q13535	ATR	SSA
Proteins	UniProt:P35244	RPA3	SSA
Proteins	UniProt:P15927	RPA2	SSA
Proteins	UniProt:P27694	RPA1	SSA
Proteins	UniProt:P43351	RAD52	SSA
Proteins	UniProt:Q92889	ERCC4	SSA
Proteins	UniProt:P07992	ERCC1	SSA
Proteins	UniProt:P00519	ABL1	SSA
