sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
SA528866	29	Heavily-rearranged	"6:159269931-170932805,7:26249821-57999999,16:84008531-84219006"
SA528866	3	Linear	1:152685260-152712166
SA528866	30	Circular	17:34827157-39278811
SA528866	7	Linear	1:17449191-21980150
SA528866	8	Circular	"1:9049646-9260120,1:10458973-11046928"
SA411401	3	Linear	19:14739822-15991578
SA411401	4	Linear	8:41245814-43099999
SA411401	7	Linear	8:38630888-39719170
SA529853	1	Linear	6:158550075-158792069
SA529853	10	Linear	13:99417164-99437380
SA529853	13	Linear	17:48871633-48912721
SA529853	15	Circular	17:65989915-79893403
SA529853	7	Linear	5:122570342-122971736
SA529853	8	Linear	13:50202723-50228259
SA501627	1	Heavily-rearranged	1:119054925-249250620
SA501627	2	Heavily-rearranged	"1:86002866-86023527,6:39681-57319998,13:103336857-103347518"
SA542063	2	Linear	12:22500-226219
SA533805	5	Linear	11:67653079-71962495
SA517264	2	Circular	"5:176804174-176849069,7:62460064-158821400,14:1-106368400"
SA517264	3	BFB	"6:205800-38348932,22:32908018-32928561"
SA517264	4	Linear	12:120355000-133851894
SA517264	5	BFB	"2:33041416-33251958,7:40386-57999999"
SA518622	3	Linear	20:50023072-58965150
SA518622	4	Linear	6:44905378-51331357
SA518622	6	Linear	6:41245248-44376677
SA501639	2	BFB	"20:41238983-60675578,21:29432501-34694602,21:40484780-48129894"
SA501639	4	Linear	16:14932581-15234224
SA514891	1	Circular	"5:0-180689978,14:20375051-107349539,19:102500-59128982,GL000220.1:0-161802"
SA557479	1	Linear	2:43105160-43263085
SA557479	10	Linear	2:53027645-53590034
SA557479	17	Linear	5:807501-1299763
SA557479	2	Linear	2:40470884-42182312
SA557479	26	Linear	2:42378654-43099118
SA557479	27	Linear	2:43616700-44176073
SA557479	3	Linear	2:44731002-44742023
SA557479	4	Circular	"7:40386-57999999,7:61700000-158821400"
SA557479	5	Linear	2:46733797-47033234
SA557479	6	Linear	2:47338486-48683271
SA557479	8	Linear	2:48694293-48738892
SA557479	9	Linear	2:51560965-51703334
SA529837	1	Linear	"1:91913910-91924520,1:143731939-249250620,2:208953321-208963930"
SA557050	1	Linear	1:143502500-145742499
SA557050	2	Linear	1:147794659-151428208
SA557050	4	BFB	1:153942443-249250620
SA542064	1	BFB	2:1695982-61210749
SA528861	10	Linear	1:145377127-156115870
SA528861	27	Linear	19:28600000-49270495
SA528861	32	Linear	14:40085834-40190700
SA528861	55	Linear	17:25800000-39000763
SA528861	57	Heavily-rearranged	"1:197901667-244901563,5:103926156-103936661,7:40386-90271095,8:80026124-145555557,11:73700784-134452200,13:33277772-115169877,15:29850899-29861403,22:1-31485680,GL000220.1:0-161802"
SA528861	58	Linear	19:102500-17156839
SA528861	72	BFB	17:39012485-80871686
SA411205	2	Linear	"2:1532530-1543222,12:190097-40658900,22:49371538-49382229"
SA528829	17	Heavily-rearranged	"8:40703610-146364021,11:38802657-38813159,GL000220.1:0-161802"
SA528829	4	BFB	"7:40386-97870319,10:102500-135389924"
SA528829	5	Linear	19:102500-59128982
SA515333	19	Linear	4:32662292-34279808
SA515333	8	Linear	8:48100000-146364021
SA505738	1	Linear	6:22531275-22735715
SA505738	12	Linear	1:244690319-245305856
SA505738	15	Linear	11:76448070-78677310
SA505738	2	Linear	6:23028562-25203653
SA505738	6	Linear	6:2281248-2930347
SA505738	9	Circular	20:2458056-3263345
SA501424	10	Linear	1:144893803-146577195
SA501424	3	Linear	4:55505084-64392874
SA501424	5	Heavily-rearranged	4:26100061-53963694
SA501424	6	Linear	16:34004602-34584335
SA501424	8	BFB	"1:154810566-245592230,6:128316850-128327411"
SA501610	1	Linear	19:47624951-48553630
SA501610	10	Linear	19:57939663-58325981
SA501610	18	Linear	19:36027757-39141560
SA501610	2	Heavily-rearranged	19:44895045-47214588
SA529803	1	Linear	21:10670001-10892500
SA533663	3	Linear	9:35018524-38802836
SA414046	1	Heavily-rearranged	17:20395002-81195209
SA533720	2	Linear	17:21512500-22199999
SA499742	1	Heavily-rearranged	"1:143389939-249250620,7:61812501-158821400"
SA499742	2	Heavily-rearranged	"8:35114086-146364021,12:96810024-97010397"
SA411713	1	Linear	18:19000000-20692596
SA411713	2	Heavily-rearranged	18:24834895-27474796
SA413905	1	Circular	"8:83485120-85170810,8:128472776-129033129"
SA505711	12	Linear	10:121621621-130547195
SA505711	14	Circular	12:68798463-68811637
SA505711	2	Linear	6:80537634-80553159
SA505711	4	Circular	2:231272991-231285173
SA505711	5	Heavily-rearranged	"6:124435289-128224569,7:129713399-158821400,8:144940249-144960745"
SA505711	8	Linear	5:170619274-170669588
SA505711	9	Linear	3:158739415-198022429
SA501395	4	Circular	6:39681-57330015
SA501395	5	Linear	6:63885935-64560041
SA528806	18	Linear	7:89895291-99529623
SA86726	1	Heavily-rearranged	"1:230907795-231108319,2:230241144-230451669,6:94937054-95137579,8:61013945-61214470,11:22143667-22344192,11:30955383-31155907,12:110107-133851894,X:2890030-3090554"
SA533674	1	Linear	22:29540960-31040589
SA533674	2	Heavily-rearranged	"2:33040960-33241683,15:72073738-102423781,GL000220.1:0-161802"
SA505351	1	Heavily-rearranged	"11:31106092-31125149,12:18910090-18930629"
SA505351	10	Linear	8:98539979-98595121
SA505351	11	Linear	7:64677582-78046668
SA505351	2	Linear	18:40030388-40042290
SA505351	4	Circular	9:6614999-32261831
SA505351	6	Linear	20:53756763-55105290
SA505351	7	Circular	22:1-18823201
SA505351	9	Circular	7:138477342-158821400
SA501517	1	Circular	"5:22500-180915259,7:61944998-119440714,GL000220.1:0-161802"
SA501517	2	BFB	"6:32452160-32482772,6:32493992-32561968,8:48100000-146364021"
SA501517	3	Linear	6:143356415-144086894
SA517262	1	BFB	"7:42038-303037,7:303735-57999999"
SA517262	3	BFB	"2:33041299-33251651,17:25800000-81195209,18:27500-15399999"
SA517262	4	Linear	17:19081801-22199999
SA517262	5	BFB	7:62460064-158821400
SA542651	1	Circular	7:40386-158817500
SA542651	2	Linear	14:1-106362500
SA530550	1	Linear	7:158188407-158628008
SA528850	12	Linear	15:1-22547702
SA528850	4	Linear	"7:34333029-61972201,11:71928263-91300182,19:102500-35500962"
SA528850	5	Heavily-rearranged	"1:115183389-191020425,1:209831721-245872881,11:122412480-134452200,12:30501224-30511741,13:1-55763803"
SA528850	8	Heavily-rearranged	"18:46297028-47485615,20:1881050-1901567,20:29456602-45840621"
SA528850	9	Heavily-rearranged	17:25800000-31829951
SA501481	3	Linear	1:146479202-149342499
SA501481	6	Circular	"4:35576349-48199999,4:52700000-59528166,8:49546368-146364021"
SA407922	1	Linear	19:38794972-41101931
SA407922	2	Linear	1:45423191-47087129
SA528864	1	Circular	"17:37264893-40181470,17:64450295-66471201"
SA528864	18	Circular	"1:128900000-221107612,1:221295461-249250620,5:0-45784418,6:21087971-67943576,7:40386-1919321,8:42438469-52324838,8:61514002-70959801,8:101291501-133807233,11:20721-25812468,13:1-63968694,13:64097720-115013183,14:50227550-106368400,GL000220.1:0-161802"
SA528864	35	Linear	9:47500-86172101
SA528864	8	Linear	6:109383232-164705770
SA544185	2	Heavily-rearranged	"13:68488318-69844855,13:70640767-74468160"
SA410190	6	Linear	4:150417745-152918294
SA410190	7	Linear	4:153536748-155616398
SA410190	8	Linear	4:139098418-143018696
SA533750	17	Linear	12:52588562-53426555
SA533750	18	Linear	12:54404839-59444793
SA533750	20	Linear	12:61416082-66611989
SA533750	21	Linear	1:145148535-149563801
SA533750	25	Linear	15:1-102426739
SA533750	26	Linear	1:216459393-249250620
SA533750	28	Linear	17:17906347-20330937
SA517281	1	Circular	8:127806823-128898579
SA542942	1	Heavily-rearranged	"2:30762-90499999,5:0-46099999,8:48100000-146147835,GL000220.1:0-161802"
SA542942	13	Linear	10:42403051-69608627
SA542942	15	Linear	11:68412778-70795224
SA542942	16	Linear	11:98281113-102384444
SA542942	17	Linear	20:34600018-36667251
SA542942	25	Heavily-rearranged	"7:158387625-158397978,9:22026539-69894602,14:16100000-106368400"
SA542942	27	Linear	19:28600000-59128982
SA542942	28	Linear	1:128900000-142707499
SA542942	33	Circular	17:76377208-78951598
SA542942	34	Linear	17:71931471-73616238
SA542942	7	Linear	6:39681-170935663
SA515286	2	Linear	14:16100000-19099999
SA501523	2	Linear	16:34205316-34599999
SA528839	1	Heavily-rearranged	"8:52761458-90073742,12:96810024-97010540,13:90037867-90048384,GL000220.1:0-161802"
SA528839	14	Linear	18:19000000-22105470
SA528839	17	Heavily-rearranged	16:7506433-25728016
SA528839	18	Linear	4:21684-191897
SA528839	22	Linear	4:140815239-142019840
SA528839	24	Linear	1:143670939-149238987
SA528839	6	BFB	12:25049077-33029216
SA411786	1	Linear	11:42607887-46626824
SA411786	10	Linear	8:128274990-128373977
SA411786	11	Linear	8:128398268-128778836
SA411786	12	Linear	9:104057002-104242289
SA411786	13	Heavily-rearranged	"3:181725809-181926460,11:12928213-42604543,15:65266425-65467076,X:2890030-3090681"
SA411786	17	Linear	19:39161130-39425099
SA411786	18	Linear	19:39572915-39934908
SA411786	20	Linear	19:39937961-40196578
SA411786	21	Linear	"7:100589903-100672623,19:29860777-34535483"
SA411786	22	Linear	1:234666826-235335118
SA411786	23	Linear	1:154326680-164889549
SA411786	24	Linear	7:98800465-99085287
SA411786	9	Linear	7:99549873-99744984
SA412067	1	Heavily-rearranged	"7:107400626-107411264,15:85872244-102385044"
SA411018	5	Linear	12:73887863-75059203
SA501535	1	Heavily-rearranged	"8:48100000-146364021,13:90037809-90048384,GL000220.1:0-161802"
SA528925	1	Heavily-rearranged	"8:40912167-80429719,9:70488658-130577551,9:130963638-140273200,10:1958175-21813487,10:22943018-23352371"
SA528925	10	Heavily-rearranged	1:145100062-188330959
SA528925	12	Linear	19:54283334-59128982
SA528925	15	Heavily-rearranged	"8:80432195-134033898,GL000220.1:0-161802"
SA528925	19	Heavily-rearranged	"6:56314679-57076036,9:37442202-38835202"
SA528925	20	Heavily-rearranged	"7:80805783-83254695,7:138562307-142817469,10:58150490-61075985"
SA528925	42	Linear	13:47577306-75140918
SA528925	54	Linear	19:28600000-42224934
SA528925	58	Linear	"4:180016522-182744390,11:59566384-72592483,12:22500-33299999,16:33807-32052499,17:35624950-81195209,18:19000000-24711308,19:23287970-23828061,19:43562120-49121815,20:29421395-46075605,GL000199.1:0-134536"
SA528925	7	Linear	6:50550383-51885708
SA570841	1	Linear	1:202608585-249250620
SA570841	2	Linear	"4:40024-41678862,20:22452114-22462631"
SA505437	13	Linear	8:71238654-71350560
SA505437	9	BFB	"8:52693371-52703878,8:91155237-145775903"
SA541952	1	Circular	7:40386-158817500
SA518699	16	Heavily-rearranged	"2:33041316-33252027,8:10205819-52115103,8:52377539-146364021,10:94426-17421022,10:27282399-117187663,10:117347583-131293504,17:25800000-52924282,19:22844986-59128982,20:54949786-62432500,21:45712108-46482255,GL000220.1:0-161802"
SA518699	17	Linear	X:96765044-154913600
SA518699	9	Linear	8:185668-10072187
SA270446	2	BFB	1:144920087-189660694
SA270446	3	Linear	19:34954525-59128982
SA543631	13	Heavily-rearranged	"5:0-45889122,8:60120065-146364021,GL000220.1:0-161802"
SA543631	14	Linear	1:128900000-144853019
SA543631	17	Linear	9:44132500-47299999
SA543631	8	Linear	15:1-20699999
SA543631	9	Linear	17:22200000-81195209
SA410071	1	Linear	17:18726971-21539158
SA410071	2	Linear	17:35628376-36478175
SA528896	2	Linear	7:54460602-55386400
SA528896	9	Linear	18:7636493-9424623
SA501485	6	BFB	"1:147779895-249250620,9:29866980-29877649"
SA320854	1	Linear	2:89392501-90499999
SA530444	2	Heavily-rearranged	"6:83129078-99526797,11:30955383-31155982,X:2890029-3090628"
SA530444	3	Linear	17:20913658-21560002
SA505244	5	Heavily-rearranged	"1:80291658-107291965,2:33031504-33251598,2:46708912-46909438,4:72553841-72754367,4:140857890-141058416,11:81329168-81529694,20:44289388-62683426,21:23250155-23260680,21:29800798-30011324"
SA529811	9	Heavily-rearranged	"1:77898650-77909187,8:48100000-146364021,GL000220.1:0-161802"
SA130917	5	Heavily-rearranged	"6:94937229-95147578,11:30319846-31360321,X:2890030-3090378"
SA529732	12	Linear	17:27080366-30246669
SA529732	14	Linear	17:35842178-36978716
SA541972	1	Heavily-rearranged	"1:230907799-231108421,2:33041065-33241688,4:125965625-126066248,4:140857793-141058416,21:15223232-48129894,X:84563468-84764090"
SA529884	26	Heavily-rearranged	"5:22873225-22883809,5:119259978-119649801,6:32433032-32518268,6:32537773-32568357,8:102756690-118729946,14:25741032-26545934"
SA533726	11	Linear	"1:70488058-151987020,2:194902378-194923103"
SA533726	15	Circular	"3:186100580-197847500,5:49928-2421482"
SA533726	4	Circular	4:95372411-105852150
SA533726	5	Heavily-rearranged	"1:27376041-47455694,6:67426842-80574968,7:20505015-71592705,7:72870005-114529036,10:96182898-135389924"
SA533726	58	Heavily-rearranged	"1:6772112-12619985,1:199529878-247249600,3:106606398-184686022,7:154118684-156077333,16:63780554-78726215,17:25800000-66332512,17:68869837-81195209,19:28600000-59128982,20:29419802-62874423"
SA533726	63	Heavily-rearranged	"4:82798288-93136934,16:53216589-58751768,22:17900000-51304565"
SA270396	3	Linear	"1:174660432-249250620,15:29850177-29860881"
SA270396	6	Linear	1:144667500-174151449
SA270396	7	Circular	"1:86001724-86022428,6:402729-57295103,8:48100000-146364021"
SA130921	1	Heavily-rearranged	"3:174885846-197847500,11:40144508-40344836"
SA130921	9	Linear	8:86491402-88204281
SA321119	1	Heavily-rearranged	"1:230897796-231108284,6:39681-31601465"
SA413275	1	Linear	"19:57559999-57720405,19:57789844-57855538"
SA413275	2	Linear	19:58033930-58173338
SA413275	3	Linear	19:58730967-58802179
SA557470	1	Circular	"3:63203064-87899999,7:43980-57999999,7:61700000-158821400,9:47500-20505041"
SA557470	15	BFB	1:149657500-249250620
SA557470	19	Linear	"3:93900000-151850569,14:1-106368400,20:17500-62385800,22:1-51304565,GL000225.1:116534-136970"
SA557470	25	Heavily-rearranged	"2:96800000-172358051,6:39681-170881671,15:1-102399133"
SA501591	2	Heavily-rearranged	"8:3682563-4237801,8:4534079-5448085"
SA501591	4	Circular	"8:48100000-101665119,8:101688330-117889217,8:117908561-121168683,8:121607619-143226907,8:143255152-143361141,8:143388734-144131613,8:144166304-146291754"
SA501591	5	Linear	8:10001-2343600
SA501591	6	Linear	8:121197607-121589314
SA507352	1	Heavily-rearranged	"1:128900000-249250620,4:179819067-180019559,5:16555671-54228785,6:160955708-160966200,7:76145402-114577422,17:25800000-81195209,20:29400000-62432500,GL000220.1:0-161802"
SA507352	11	Linear	16:100010-34599999
SA507352	4	BFB	5:106818945-180711115
SA507352	8	Heavily-rearranged	"8:61013977-61224469,12:52474193-133851894,Y:22224425-22244917"
SA507352	9	Heavily-rearranged	"1:108046566-108247057,2:39910-242985695,3:162322563-198022429,5:54294696-106809820,19:32526278-45384306,22:1-51304565"
SA501599	10	Linear	12:21449055-23022076
SA501599	2	Heavily-rearranged	"8:30419481-30647250,10:84968917-84989623"
SA501599	3	Linear	16:33722501-34022802
SA501599	4	Linear	8:28299995-28551803
SA501511	10	Linear	1:143140939-152550724
SA501511	11	Linear	8:68544995-146364021
SA501511	12	BFB	6:63300000-67053594
SA501511	5	Linear	1:169575477-170030631
SA501511	8	Linear	1:152593024-159239518
SA501511	9	Heavily-rearranged	"1:159414043-168155789,10:65432620-65453409"
SA320992	2	Linear	13:90272541-93194253
SA320992	5	Heavily-rearranged	"13:68158697-68310953,13:77917471-78065543"
SA320992	8	Linear	13:68382765-76973886
SA410978	1	Heavily-rearranged	17:36835846-39994152
SA410978	3	Linear	19:44079170-47458360
SA515472	1	Linear	1:128900000-155419718
SA501647	4	Linear	14:16100000-19099999
SA501647	6	Linear	11:68936627-69689532
SA413318	1	Heavily-rearranged	17:19041401-81195209
SA542235	2	Linear	"8:220988-43099999,9:76888389-76898991"
SA320926	1	Linear	1:12892501-17633962
SA529743	23	Linear	1:145137501-146472499
SA517256	2	BFB	17:44816603-59737500
SA515367	9	Heavily-rearranged	"4:80733-54604496,19:15349754-21647584"
SA533747	1	Linear	18:19000000-20053648
SA533747	10	Linear	18:11553523-14469390
SA533747	2	Linear	9:32928796-33292877
SA533747	5	Linear	18:20710438-21963121
SA533747	7	Linear	9:32192921-32740582
SA533747	8	Linear	9:32764828-32891641
SA543605	1	Circular	"5:0-180689978,17:0-81195209,GL000220.1:0-161802"
SA543605	2	Heavily-rearranged	9:47500-141068960
SA517274	1	Circular	2:15280904-16184958
SA528883	3	Linear	8:39937441-40023694
SA528883	4	Linear	5:38964528-45898889
SA528883	6	Circular	21:40182202-40259132
SA543211	1	Circular	1:10870892-10881609
SA543211	2	Linear	19:29561257-30959928
SA528795	10	Linear	5:0-4358955
SA528795	13	Heavily-rearranged	"10:125764813-126806720,10:126869379-128325929"
SA528795	14	Linear	3:191741546-193636515
SA528795	16	Heavily-rearranged	"7:16983311-20267931,7:80462881-80823585,7:87137862-89693047,7:90025116-101690897,11:68559034-81810560,12:110107-33299999"
SA528795	17	Linear	12:38200000-48069598
SA528795	18	Linear	X:18729182-21546441
SA528795	3	Linear	8:58865456-100124414
SA528795	8	Linear	10:123140100-125524322
SA6134	17	Linear	6:434242-979840
SA6134	26	Linear	1:150299999-152239975
SA6134	3	Linear	8:131467649-134013742
SA6134	32	Linear	6:16532500-20274999
SA6134	37	Linear	6:13342500-16249979
SA6134	4	Linear	3:109642500-109773982
SA6134	45	Linear	"6:26389219-29275299,X:139805285-139825852"
SA6134	56	Linear	8:134191138-135396001
SA6134	62	Linear	"3:100074-1800055,22:20238863-20249430,X:1-6940193"
SA6134	7	Linear	14:19100000-20555071
SA6134	74	Linear	8:125723835-129090009
SA6134	77	Linear	"3:87619184-87629751,6:37624043-44781431,8:142005913-146364021,11:132897131-132907698"
SA6134	78	Linear	3:100447501-107154367
SA520223	2	Linear	9:34990167-37089518
SA518664	1	Linear	17:35829968-36401758
SA518664	5	Linear	17:35478804-35741884
SA528945	13	Heavily-rearranged	"2:33040883-33251372,5:81849-92338,17:36742500-38421379,GL000220.1:0-161802"
SA528945	14	Linear	17:39575414-40174956
SA528945	15	Linear	17:48429745-50791878
SA528945	22	Linear	1:143502500-154333289
SA528945	8	Linear	"4:137227911-185175033,6:160955737-160966226,7:40386-57999999"
SA409250	1	Linear	"7:62464210-158821400,15:1-102531391"
SA409250	4	Linear	7:40386-48898895
SA270400	4	Linear	19:6608605-8094580
SA499813	1	Linear	6:43681203-44604862
SA542123	2	Linear	7:88793930-92722448
SA501446	1	Linear	2:78104793-78171799
SA501446	2	Linear	2:77293234-77338374
SA558659	13	Linear	17:50077142-50093300
SA558659	3	Linear	4:154731494-154741831
SA558659	6	Linear	7:22925712-22996044
SA515422	1	Heavily-rearranged	15:15800000-102531391
SA501598	14	Circular	"1:145080101-183522496,1:183693985-249250620,3:62309-87899999,3:93900000-197847500,5:0-46099999,6:242501-58523801,6:63673631-67408136,6:68056889-116827634,7:50369982-50390497,8:48100000-128877352,8:129155054-146364021,12:110107-12795686,13:51916983-85237292,13:87582404-92790240,13:92838144-115169877,16:93627-34599999,16:38600000-90354752,17:21451733-81195209,18:125371-76117000,20:37417-15008891,20:15453381-62432500,21:10670001-38825471,GL000220.1:0-161802"
SA501598	16	Linear	14:19100000-46627933
SA501598	20	Linear	8:3957930-43099999
SA501598	5	Linear	9:39006652-66799971
SA321030	1	Linear	8:128889560-128927250
SA558649	2	Heavily-rearranged	"17:37473772-39041111,17:50176739-50187610"
SA558649	3	Linear	17:33902548-37160887
SA542014	4	Linear	6:36655367-50322500
